"Server","Time Stamp","Usage (%)"
"SRV005106","",""
"SRV005106","2019/11/29 12:00:00 AM","13,47"
"SRV005106","2019/11/29 12:30:00 AM","9,46"
"SRV005106","2019/11/29 1:00:00 AM","11,54"
"SRV005106","2019/11/29 1:30:00 AM","9,22"
"SRV005106","2019/11/29 2:00:00 AM","9,61"
"SRV005106","2019/11/29 2:30:00 AM","9,28"
"SRV005106","2019/11/29 3:00:00 AM","12,12"
"SRV005106","2019/11/29 3:30:00 AM","11,85"
"SRV005106","2019/11/29 4:00:00 AM","12,37"
"SRV005106","2019/11/29 4:30:00 AM","9,56"
"SRV005106","2019/11/29 5:00:00 AM","10,85"
"SRV005106","2019/11/29 5:30:00 AM","9,91"
"SRV005106","2019/11/29 6:00:00 AM","10,82"
"SRV005106","2019/11/29 6:30:00 AM","11,75"
"SRV005106","2019/11/29 7:00:00 AM","8,26"
"SRV005106","2019/11/29 7:30:00 AM","9,29"
"SRV005106","2019/11/29 8:00:00 AM","14,88"
"SRV005106","2019/11/29 8:30:00 AM","18,97"
"SRV005106","2019/11/29 9:00:00 AM","14,67"
"SRV005106","2019/11/29 9:30:00 AM","19,29"
"SRV005106","2019/11/29 10:00:00 AM","18,33"
"SRV005106","2019/11/29 10:30:00 AM","25,51"
"SRV005106","2019/11/29 11:00:00 AM","19,78"
"SRV005106","2019/11/29 11:30:00 AM","21"
"SRV005106","2019/11/29 12:00:00 PM","21,76"
"SRV005106","2019/11/29 12:30:00 PM","21,63"
"SRV005106","2019/11/29 1:00:00 PM","18,39"
"SRV005106","2019/11/29 1:30:00 PM","13,16"
"SRV005106","2019/11/29 2:00:00 PM","10,98"
"SRV005106","2019/11/29 2:30:00 PM","14,22"
"SRV005106","2019/11/29 3:00:00 PM","13,23"
"SRV005106","2019/11/29 3:30:00 PM","11,77"
"SRV005106","2019/11/29 4:00:00 PM","8,9"
"SRV005106","2019/11/29 4:30:00 PM","6,71"
"SRV005106","2019/11/29 5:00:00 PM","7,13"
"SRV005106","2019/11/29 5:30:00 PM","6,53"
"SRV005106","2019/11/29 6:00:00 PM","7,41"
"SRV005106","2019/11/29 6:30:00 PM","8,01"
"SRV005106","2019/11/29 7:00:00 PM","6,65"
"SRV005106","2019/11/29 7:30:00 PM","5,9"
"SRV005106","2019/11/29 8:00:00 PM","52"
"SRV005106","2019/11/29 8:30:00 PM","32,08"
"SRV005106","2019/11/29 9:00:00 PM","42,41"
"SRV005106","2019/11/29 9:30:00 PM","44,72"
"SRV005106","2019/11/29 10:00:00 PM","39,04"
"SRV005106","2019/11/29 10:30:00 PM","28,62"
"SRV005106","2019/11/29 11:00:00 PM","23,65"
"SRV005106","2019/11/29 11:30:00 PM","25,91"
"SRV005106","2019/11/30 12:00:00 AM","21,68"
"SRV005106","2019/11/30 12:30:00 AM","20,41"
"SRV005106","2019/11/30 1:00:00 AM","21,67"
"SRV005106","2019/11/30 1:30:00 AM","12,84"
"SRV005106","2019/11/30 2:00:00 AM","33,93"
"SRV005106","2019/11/30 2:30:00 AM","24,56"
"SRV005106","2019/11/30 3:00:00 AM","32,31"
"SRV005106","2019/11/30 3:30:00 AM","29,52"
"SRV005106","2019/11/30 4:00:00 AM","30,6"
"SRV005106","2019/11/30 4:30:00 AM","29,7"
"SRV005106","2019/11/30 5:00:00 AM","29,21"
"SRV005106","2019/11/30 5:30:00 AM","32,32"
"SRV005106","2019/11/30 6:00:00 AM","28,25"
"SRV005106","2019/11/30 6:30:00 AM","29,96"
"SRV005106","2019/11/30 7:00:00 AM","30,94"
"SRV005106","2019/11/30 7:30:00 AM","27,52"
"SRV005106","2019/11/30 8:00:00 AM","32,92"
"SRV005106","2019/11/30 8:30:00 AM","28,62"
"SRV005106","2019/11/30 9:00:00 AM","33,89"
"SRV005106","2019/11/30 9:30:00 AM","31,4"
"SRV005106","2019/11/30 10:00:00 AM","33,16"
"SRV005106","2019/11/30 10:30:00 AM","28,41"
"SRV005106","2019/11/30 11:00:00 AM","32,82"
"SRV005106","2019/11/30 11:30:00 AM","36,05"
"SRV005106","2019/11/30 12:00:00 PM","31,96"
"SRV005106","2019/11/30 12:30:00 PM","34,22"
"SRV005106","2019/11/30 1:00:00 PM","30,61"
