"Server","Time Stamp","Usage (%)"
"SRV005107","",""
"SRV005107","2019/11/29 12:00:00 AM","1,23"
"SRV005107","2019/11/29 12:30:00 AM","1,19"
"SRV005107","2019/11/29 1:00:00 AM","1,06"
"SRV005107","2019/11/29 1:30:00 AM","0,99"
"SRV005107","2019/11/29 2:00:00 AM","1,35"
"SRV005107","2019/11/29 2:30:00 AM","1,31"
"SRV005107","2019/11/29 3:00:00 AM","1,25"
"SRV005107","2019/11/29 3:30:00 AM","1,14"
"SRV005107","2019/11/29 4:00:00 AM","1,1"
"SRV005107","2019/11/29 4:30:00 AM","1,05"
"SRV005107","2019/11/29 5:00:00 AM","1,09"
"SRV005107","2019/11/29 5:30:00 AM","1,25"
"SRV005107","2019/11/29 6:00:00 AM","1,17"
"SRV005107","2019/11/29 6:30:00 AM","1,02"
"SRV005107","2019/11/29 7:00:00 AM","1,11"
"SRV005107","2019/11/29 7:30:00 AM","1,06"
"SRV005107","2019/11/29 8:00:00 AM","0,99"
"SRV005107","2019/11/29 8:30:00 AM","1,4"
"SRV005107","2019/11/29 9:00:00 AM","1,21"
"SRV005107","2019/11/29 9:30:00 AM","1,16"
"SRV005107","2019/11/29 10:00:00 AM","1,23"
"SRV005107","2019/11/29 10:30:00 AM","1,18"
"SRV005107","2019/11/29 11:00:00 AM","1,09"
"SRV005107","2019/11/29 11:30:00 AM","1,18"
"SRV005107","2019/11/29 12:00:00 PM","1,12"
"SRV005107","2019/11/29 12:30:00 PM","1,16"
"SRV005107","2019/11/29 1:00:00 PM","1,38"
"SRV005107","2019/11/29 1:30:00 PM","1,16"
"SRV005107","2019/11/29 2:00:00 PM","1,2"
"SRV005107","2019/11/29 2:30:00 PM","1,39"
"SRV005107","2019/11/29 3:00:00 PM","0,99"
"SRV005107","2019/11/29 3:30:00 PM","1,19"
"SRV005107","2019/11/29 4:00:00 PM","1,12"
"SRV005107","2019/11/29 4:30:00 PM","1,25"
"SRV005107","2019/11/29 5:00:00 PM","1,45"
"SRV005107","2019/11/29 5:30:00 PM","1,16"
"SRV005107","2019/11/29 6:00:00 PM","1,19"
"SRV005107","2019/11/29 6:30:00 PM","1,16"
"SRV005107","2019/11/29 7:00:00 PM","1,61"
"SRV005107","2019/11/29 7:30:00 PM","1,49"
"SRV005107","2019/11/29 8:00:00 PM","1,83"
"SRV005107","2019/11/29 8:30:00 PM","4,85"
"SRV005107","2019/11/29 9:00:00 PM","5,89"
"SRV005107","2019/11/29 9:30:00 PM","1,91"
"SRV005107","2019/11/29 10:00:00 PM","1,15"
"SRV005107","2019/11/29 10:30:00 PM","1,33"
"SRV005107","2019/11/29 11:00:00 PM","1,49"
"SRV005107","2019/11/29 11:30:00 PM","1,22"
"SRV005107","2019/11/30 12:00:00 AM","1,34"
"SRV005107","2019/11/30 12:30:00 AM","1,17"
"SRV005107","2019/11/30 1:00:00 AM","1,3"
"SRV005107","2019/11/30 1:30:00 AM","1,38"
"SRV005107","2019/11/30 2:00:00 AM","1,24"
"SRV005107","2019/11/30 2:30:00 AM","2,1"
"SRV005107","2019/11/30 3:00:00 AM","1,72"
"SRV005107","2019/11/30 3:30:00 AM","2,13"
"SRV005107","2019/11/30 4:00:00 AM","2,29"
"SRV005107","2019/11/30 4:30:00 AM","2,06"
"SRV005107","2019/11/30 5:00:00 AM","1,66"
"SRV005107","2019/11/30 5:30:00 AM","1,96"
"SRV005107","2019/11/30 6:00:00 AM","2,23"
"SRV005107","2019/11/30 6:30:00 AM","1,81"
"SRV005107","2019/11/30 7:00:00 AM","1,89"
"SRV005107","2019/11/30 7:30:00 AM","1,61"
"SRV005107","2019/11/30 8:00:00 AM","1,73"
"SRV005107","2019/11/30 8:30:00 AM","1,64"
"SRV005107","2019/11/30 9:00:00 AM","1,53"
"SRV005107","2019/11/30 9:30:00 AM","1,81"
"SRV005107","2019/11/30 10:00:00 AM","2,11"
"SRV005107","2019/11/30 10:30:00 AM","1,99"
"SRV005107","2019/11/30 11:00:00 AM","2,01"
"SRV005107","2019/11/30 11:30:00 AM","2,42"
"SRV005107","2019/11/30 12:00:00 PM","2,12"
"SRV005107","2019/11/30 12:30:00 PM","2,07"
"SRV005107","2019/11/30 1:00:00 PM","2,28"
"SRV005107","2019/11/30 1:30:00 PM","1,99"
"SRV005107","2019/11/30 2:00:00 PM","15,04"
"SRV005107","2019/11/30 2:30:00 PM","21,32"
"SRV005107","2019/11/30 3:00:00 PM","24,07"
"SRV005107","2019/11/30 3:30:00 PM","9,34"
"SRV005107","2019/11/30 4:00:00 PM","3,84"
"SRV005107","2019/11/30 4:30:00 PM","4,13"
"SRV005107","2019/11/30 5:00:00 PM","3,97"
"SRV005107","2019/11/30 5:30:00 PM","3,64"
"SRV005107","2019/11/30 6:00:00 PM","3,84"
"SRV005107","2019/11/30 6:30:00 PM","4,21"
"SRV005107","2019/11/30 7:00:00 PM","4,57"
"SRV005107","2019/11/30 7:30:00 PM","3,47"
"SRV005107","2019/11/30 8:00:00 PM","3,88"
"SRV005107","2019/11/30 8:30:00 PM","3,53"
"SRV005107","2019/11/30 9:00:00 PM","3,81"
"SRV005107","2019/11/30 9:30:00 PM","3,32"
"SRV005107","2019/11/30 10:00:00 PM","5,88"
"SRV005107","2019/11/30 10:30:00 PM","5,68"
"SRV005107","2019/11/30 11:00:00 PM","8,79"
"SRV005107","2019/11/30 11:30:00 PM","3,84"
"SRV005107","2019/12/01 12:00:00 AM","4,76"
"SRV005107","2019/12/01 12:30:00 AM","3,84"
"SRV005107","2019/12/01 1:00:00 AM","2,76"
"SRV005107","2019/12/01 1:30:00 AM","3,09"
"SRV005107","2019/12/01 2:00:00 AM","2,79"
"SRV005107","2019/12/01 2:30:00 AM","2,69"
"SRV005107","2019/12/01 3:00:00 AM","2,7"
"SRV005107","2019/12/01 3:30:00 AM","2,72"
"SRV005107","2019/12/01 4:00:00 AM","3,35"
