"Server","Time Stamp","Usage (%)"
"SRV005106","",""
"SRV005106","2019/11/29 12:00:00 AM","8,65"
"SRV005106","2019/11/29 12:30:00 AM","8,71"
"SRV005106","2019/11/29 1:00:00 AM","9,84"
"SRV005106","2019/11/29 1:30:00 AM","9,39"
"SRV005106","2019/11/29 2:00:00 AM","8,61"
"SRV005106","2019/11/29 2:30:00 AM","7,89"
"SRV005106","2019/11/29 3:00:00 AM","11,34"
"SRV005106","2019/11/29 3:30:00 AM","9,86"
"SRV005106","2019/11/29 4:00:00 AM","9,35"
"SRV005106","2019/11/29 4:30:00 AM","9,56"
"SRV005106","2019/11/29 5:00:00 AM","10,25"
"SRV005106","2019/11/29 5:30:00 AM","9,6"
"SRV005106","2019/11/29 6:00:00 AM","9,44"
"SRV005106","2019/11/29 6:30:00 AM","12,01"
"SRV005106","2019/11/29 7:00:00 AM","9,96"
"SRV005106","2019/11/29 7:30:00 AM","10,25"
"SRV005106","2019/11/29 8:00:00 AM","11,99"
"SRV005106","2019/11/29 8:30:00 AM","14,79"
"SRV005106","2019/11/29 9:00:00 AM","12,92"
"SRV005106","2019/11/29 9:30:00 AM","13,24"
"SRV005106","2019/11/29 10:00:00 AM","15,46"
"SRV005106","2019/11/29 10:30:00 AM","13,69"
"SRV005106","2019/11/29 11:00:00 AM","13,94"
"SRV005106","2019/11/29 11:30:00 AM","14,29"
"SRV005106","2019/11/29 12:00:00 PM","15,81"
"SRV005106","2019/11/29 12:30:00 PM","15,02"
"SRV005106","2019/11/29 1:00:00 PM","13,56"
"SRV005106","2019/11/29 1:30:00 PM","13,8"
"SRV005106","2019/11/29 2:00:00 PM","10,5"
"SRV005106","2019/11/29 2:30:00 PM","12,02"
"SRV005106","2019/11/29 3:00:00 PM","12,16"
"SRV005106","2019/11/29 3:30:00 PM","9,98"
"SRV005106","2019/11/29 4:00:00 PM","10,39"
"SRV005106","2019/11/29 4:30:00 PM","9,61"
"SRV005106","2019/11/29 5:00:00 PM","9,09"
"SRV005106","2019/11/29 5:30:00 PM","10,08"
"SRV005106","2019/11/29 6:00:00 PM","8,72"
"SRV005106","2019/11/29 6:30:00 PM","10,39"
"SRV005106","2019/11/29 7:00:00 PM","8,98"
"SRV005106","2019/11/29 7:30:00 PM","7,61"
"SRV005106","2019/11/29 8:00:00 PM","19,23"
"SRV005106","2019/11/29 8:30:00 PM","16,79"
"SRV005106","2019/11/29 9:00:00 PM","17,63"
"SRV005106","2019/11/29 9:30:00 PM","10,44"
"SRV005106","2019/11/29 10:00:00 PM","12,56"
"SRV005106","2019/11/29 10:30:00 PM","11,91"
"SRV005106","2019/11/29 11:00:00 PM","11,65"
"SRV005106","2019/11/29 11:30:00 PM","11,57"
"SRV005106","2019/11/30 12:00:00 AM","9,4"
"SRV005106","2019/11/30 12:30:00 AM","9,24"
"SRV005106","2019/11/30 1:00:00 AM","9,78"
"SRV005106","2019/11/30 1:30:00 AM","9,65"
"SRV005106","2019/11/30 2:00:00 AM","10,4"
"SRV005106","2019/11/30 2:30:00 AM","10,82"
"SRV005106","2019/11/30 3:00:00 AM","13,64"
"SRV005106","2019/11/30 3:30:00 AM","10,99"
"SRV005106","2019/11/30 4:00:00 AM","11,32"
"SRV005106","2019/11/30 4:30:00 AM","11,18"
"SRV005106","2019/11/30 5:00:00 AM","10,81"
"SRV005106","2019/11/30 5:30:00 AM","12,44"
"SRV005106","2019/11/30 6:00:00 AM","12,33"
"SRV005106","2019/11/30 6:30:00 AM","12,66"
"SRV005106","2019/11/30 7:00:00 AM","13,37"
"SRV005106","2019/11/30 7:30:00 AM","11,4"
"SRV005106","2019/11/30 8:00:00 AM","13,04"
"SRV005106","2019/11/30 8:30:00 AM","13,57"
"SRV005106","2019/11/30 9:00:00 AM","13,44"
"SRV005106","2019/11/30 9:30:00 AM","12,74"
"SRV005106","2019/11/30 10:00:00 AM","13,51"
"SRV005106","2019/11/30 10:30:00 AM","12,09"
"SRV005106","2019/11/30 11:00:00 AM","12,77"
"SRV005106","2019/11/30 11:30:00 AM","14,63"
"SRV005106","2019/11/30 12:00:00 PM","13,51"
"SRV005106","2019/11/30 12:30:00 PM","14,28"
"SRV005106","2019/11/30 1:00:00 PM","12,93"
"SRV005106","2019/11/30 1:30:00 PM","13,24"
"SRV005106","2019/11/30 2:00:00 PM","20,05"
"SRV005106","2019/11/30 2:30:00 PM","29,36"
"SRV005106","2019/11/30 3:00:00 PM","23,73"
