"Server","Time Stamp","Usage (%)"
"SRV005120","",""
"SRV005120","2019/11/29 12:00:00 AM","4,42"
"SRV005120","2019/11/29 12:30:00 AM","3,98"
"SRV005120","2019/11/29 1:00:00 AM","5,91"
"SRV005120","2019/11/29 1:30:00 AM","4,02"
"SRV005120","2019/11/29 2:00:00 AM","5"
"SRV005120","2019/11/29 2:30:00 AM","4,36"
"SRV005120","2019/11/29 3:00:00 AM","3,71"
"SRV005120","2019/11/29 3:30:00 AM","4,36"
"SRV005120","2019/11/29 4:00:00 AM","4,3"
"SRV005120","2019/11/29 4:30:00 AM","4,19"
"SRV005120","2019/11/29 5:00:00 AM","3,41"
"SRV005120","2019/11/29 5:30:00 AM","4,13"
"SRV005120","2019/11/29 6:00:00 AM","4,91"
"SRV005120","2019/11/29 6:30:00 AM","5,2"
"SRV005120","2019/11/29 7:00:00 AM","4,21"
"SRV005120","2019/11/29 7:30:00 AM","4,05"
"SRV005120","2019/11/29 8:00:00 AM","4,16"
"SRV005120","2019/11/29 8:30:00 AM","4,74"
"SRV005120","2019/11/29 9:00:00 AM","3,72"
"SRV005120","2019/11/29 9:30:00 AM","4,26"
"SRV005120","2019/11/29 10:00:00 AM","4,35"
"SRV005120","2019/11/29 10:30:00 AM","4,68"
"SRV005120","2019/11/29 11:00:00 AM","3,93"
"SRV005120","2019/11/29 11:30:00 AM","4,66"
"SRV005120","2019/11/29 12:00:00 PM","4,01"
"SRV005120","2019/11/29 12:30:00 PM","4,17"
"SRV005120","2019/11/29 1:00:00 PM","5,02"
"SRV005120","2019/11/29 1:30:00 PM","4,62"
"SRV005120","2019/11/29 2:00:00 PM","3,57"
"SRV005120","2019/11/29 2:30:00 PM","3,84"
"SRV005120","2019/11/29 3:00:00 PM","4,78"
"SRV005120","2019/11/29 3:30:00 PM","4,49"
"SRV005120","2019/11/29 4:00:00 PM","3,64"
"SRV005120","2019/11/29 4:30:00 PM","4,62"
"SRV005120","2019/11/29 5:00:00 PM","4,06"
"SRV005120","2019/11/29 5:30:00 PM","3,76"
"SRV005120","2019/11/29 6:00:00 PM","3,37"
"SRV005120","2019/11/29 6:30:00 PM","3,87"
"SRV005120","2019/11/29 7:00:00 PM","5,32"
"SRV005120","2019/11/29 7:30:00 PM","4,23"
"SRV005120","2019/11/29 8:00:00 PM","5,35"
"SRV005120","2019/11/29 8:30:00 PM","5,09"
"SRV005120","2019/11/29 9:00:00 PM","5,39"
"SRV005120","2019/11/29 9:30:00 PM","4,49"
"SRV005120","2019/11/29 10:00:00 PM","17,34"
"SRV005120","2019/11/29 10:30:00 PM","4,39"
"SRV005120","2019/11/29 11:00:00 PM","8,53"
"SRV005120","2019/11/29 11:30:00 PM","5,83"
"SRV005120","2019/11/30 12:00:00 AM","5,82"
"SRV005120","2019/11/30 12:30:00 AM","4,85"
"SRV005120","2019/11/30 1:00:00 AM","5,12"
"SRV005120","2019/11/30 1:30:00 AM","10,31"
"SRV005120","2019/11/30 2:00:00 AM","17,53"
"SRV005120","2019/11/30 2:30:00 AM","10,82"
"SRV005120","2019/11/30 3:00:00 AM","10,36"
"SRV005120","2019/11/30 3:30:00 AM","10,13"
"SRV005120","2019/11/30 4:00:00 AM","8,35"
"SRV005120","2019/11/30 4:30:00 AM","9,69"
"SRV005120","2019/11/30 5:00:00 AM","9,71"
"SRV005120","2019/11/30 5:30:00 AM","9,28"
"SRV005120","2019/11/30 6:00:00 AM","9,5"
"SRV005120","2019/11/30 6:30:00 AM","10,48"
"SRV005120","2019/11/30 7:00:00 AM","9,29"
"SRV005120","2019/11/30 7:30:00 AM","9,17"
"SRV005120","2019/11/30 8:00:00 AM","10,11"
"SRV005120","2019/11/30 8:30:00 AM","10,62"
"SRV005120","2019/11/30 9:00:00 AM","9,57"
"SRV005120","2019/11/30 9:30:00 AM","10,02"
"SRV005120","2019/11/30 10:00:00 AM","9,83"
"SRV005120","2019/11/30 10:30:00 AM","9,89"
"SRV005120","2019/11/30 11:00:00 AM","8,3"
"SRV005120","2019/11/30 11:30:00 AM","9,7"
"SRV005120","2019/11/30 12:00:00 PM","9,61"
"SRV005120","2019/11/30 12:30:00 PM","9,59"
