"Server","Time Stamp","Usage (%)"
"SRV005120","",""
"SRV005120","2019/11/29 12:00:00 AM","2,44"
"SRV005120","2019/11/29 12:30:00 AM","2,31"
"SRV005120","2019/11/29 1:00:00 AM","3,69"
"SRV005120","2019/11/29 1:30:00 AM","2,4"
"SRV005120","2019/11/29 2:00:00 AM","2,51"
"SRV005120","2019/11/29 2:30:00 AM","2,36"
"SRV005120","2019/11/29 3:00:00 AM","2,48"
"SRV005120","2019/11/29 3:30:00 AM","2,34"
"SRV005120","2019/11/29 4:00:00 AM","2,43"
"SRV005120","2019/11/29 4:30:00 AM","2,34"
"SRV005120","2019/11/29 5:00:00 AM","2,44"
"SRV005120","2019/11/29 5:30:00 AM","2,46"
"SRV005120","2019/11/29 6:00:00 AM","2,45"
"SRV005120","2019/11/29 6:30:00 AM","2,36"
"SRV005120","2019/11/29 7:00:00 AM","2,49"
"SRV005120","2019/11/29 7:30:00 AM","2,3"
"SRV005120","2019/11/29 8:00:00 AM","2,45"
"SRV005120","2019/11/29 8:30:00 AM","2,35"
"SRV005120","2019/11/29 9:00:00 AM","2,49"
"SRV005120","2019/11/29 9:30:00 AM","2,38"
"SRV005120","2019/11/29 10:00:00 AM","2,49"
"SRV005120","2019/11/29 10:30:00 AM","2,33"
"SRV005120","2019/11/29 11:00:00 AM","2,46"
"SRV005120","2019/11/29 11:30:00 AM","2,38"
"SRV005120","2019/11/29 12:00:00 PM","2,49"
"SRV005120","2019/11/29 12:30:00 PM","2,39"
"SRV005120","2019/11/29 1:00:00 PM","2,53"
"SRV005120","2019/11/29 1:30:00 PM","2,4"
"SRV005120","2019/11/29 2:00:00 PM","2,39"
"SRV005120","2019/11/29 2:30:00 PM","2,4"
"SRV005120","2019/11/29 3:00:00 PM","2,46"
"SRV005120","2019/11/29 3:30:00 PM","2,37"
"SRV005120","2019/11/29 4:00:00 PM","2,46"
"SRV005120","2019/11/29 4:30:00 PM","2,37"
"SRV005120","2019/11/29 5:00:00 PM","2,48"
"SRV005120","2019/11/29 5:30:00 PM","2,33"
"SRV005120","2019/11/29 6:00:00 PM","2,49"
"SRV005120","2019/11/29 6:30:00 PM","2,39"
"SRV005120","2019/11/29 7:00:00 PM","2,5"
"SRV005120","2019/11/29 7:30:00 PM","2,38"
"SRV005120","2019/11/29 8:00:00 PM","3,15"
"SRV005120","2019/11/29 8:30:00 PM","3,79"
"SRV005120","2019/11/29 9:00:00 PM","3,26"
"SRV005120","2019/11/29 9:30:00 PM","2,38"
"SRV005120","2019/11/29 10:00:00 PM","11,24"
"SRV005120","2019/11/29 10:30:00 PM","2,34"
"SRV005120","2019/11/29 11:00:00 PM","2,99"
"SRV005120","2019/11/29 11:30:00 PM","2,57"
"SRV005120","2019/11/30 12:00:00 AM","2,56"
"SRV005120","2019/11/30 12:30:00 AM","2,39"
"SRV005120","2019/11/30 1:00:00 AM","2,72"
"SRV005120","2019/11/30 1:30:00 AM","10,23"
"SRV005120","2019/11/30 2:00:00 AM","16,25"
"SRV005120","2019/11/30 2:30:00 AM","9,69"
"SRV005120","2019/11/30 3:00:00 AM","9,84"
"SRV005120","2019/11/30 3:30:00 AM","9,43"
"SRV005120","2019/11/30 4:00:00 AM","10,24"
"SRV005120","2019/11/30 4:30:00 AM","9,3"
"SRV005120","2019/11/30 5:00:00 AM","10,84"
"SRV005120","2019/11/30 5:30:00 AM","9,83"
"SRV005120","2019/11/30 6:00:00 AM","10,03"
"SRV005120","2019/11/30 6:30:00 AM","9,79"
"SRV005120","2019/11/30 7:00:00 AM","9,04"
"SRV005120","2019/11/30 7:30:00 AM","10,39"
"SRV005120","2019/11/30 8:00:00 AM","8,88"
"SRV005120","2019/11/30 8:30:00 AM","9,89"
"SRV005120","2019/11/30 9:00:00 AM","9,72"
"SRV005120","2019/11/30 9:30:00 AM","9,6"
"SRV005120","2019/11/30 10:00:00 AM","9,19"
"SRV005120","2019/11/30 10:30:00 AM","9,34"
"SRV005120","2019/11/30 11:00:00 AM","9,14"
"SRV005120","2019/11/30 11:30:00 AM","10,03"
"SRV005120","2019/11/30 12:00:00 PM","9,7"
"SRV005120","2019/11/30 12:30:00 PM","9,51"
"SRV005120","2019/11/30 1:00:00 PM","9,3"
"SRV005120","2019/11/30 1:30:00 PM","9,66"
"SRV005120","2019/11/30 2:00:00 PM","7,7"
"SRV005120","2019/11/30 2:30:00 PM","7,12"
"SRV005120","2019/11/30 3:00:00 PM","6,89"
"SRV005120","2019/11/30 3:30:00 PM","9,15"
