"Server","Time Stamp","Usage (KBps)"
"SRV005119","",""
"SRV005119","2019/11/29 12:00:00 AM","29"
"SRV005119","2019/11/29 12:30:00 AM","106"
"SRV005119","2019/11/29 1:00:00 AM","1430"
"SRV005119","2019/11/29 1:30:00 AM","24"
"SRV005119","2019/11/29 2:00:00 AM","39"
"SRV005119","2019/11/29 2:30:00 AM","26"
"SRV005119","2019/11/29 3:00:00 AM","33"
"SRV005119","2019/11/29 3:30:00 AM","78"
"SRV005119","2019/11/29 4:00:00 AM","38"
"SRV005119","2019/11/29 4:30:00 AM","29"
"SRV005119","2019/11/29 5:00:00 AM","53"
"SRV005119","2019/11/29 5:30:00 AM","153"
"SRV005119","2019/11/29 6:00:00 AM","56"
"SRV005119","2019/11/29 6:30:00 AM","78"
"SRV005119","2019/11/29 7:00:00 AM","274"
"SRV005119","2019/11/29 7:30:00 AM","109"
"SRV005119","2019/11/29 8:00:00 AM","409"
"SRV005119","2019/11/29 8:30:00 AM","401"
"SRV005119","2019/11/29 9:00:00 AM","457"
"SRV005119","2019/11/29 9:30:00 AM","551"
"SRV005119","2019/11/29 10:00:00 AM","510"
"SRV005119","2019/11/29 10:30:00 AM","641"
"SRV005119","2019/11/29 11:00:00 AM","578"
"SRV005119","2019/11/29 11:30:00 AM","688"
"SRV005119","2019/11/29 12:00:00 PM","513"
"SRV005119","2019/11/29 12:30:00 PM","432"
"SRV005119","2019/11/29 1:00:00 PM","456"
"SRV005119","2019/11/29 1:30:00 PM","327"
"SRV005119","2019/11/29 2:00:00 PM","314"
"SRV005119","2019/11/29 2:30:00 PM","338"
"SRV005119","2019/11/29 3:00:00 PM","306"
"SRV005119","2019/11/29 3:30:00 PM","629"
"SRV005119","2019/11/29 4:00:00 PM","149"
"SRV005119","2019/11/29 4:30:00 PM","110"
"SRV005119","2019/11/29 5:00:00 PM","110"
"SRV005119","2019/11/29 5:30:00 PM","87"
"SRV005119","2019/11/29 6:00:00 PM","86"
"SRV005119","2019/11/29 6:30:00 PM","80"
"SRV005119","2019/11/29 7:00:00 PM","69"
"SRV005119","2019/11/29 7:30:00 PM","47"
"SRV005119","2019/11/29 8:00:00 PM","7113"
"SRV005119","2019/11/29 8:30:00 PM","6815"
"SRV005119","2019/11/29 9:00:00 PM","23895"
"SRV005119","2019/11/29 9:30:00 PM","45"
"SRV005119","2019/11/29 10:00:00 PM","56"
"SRV005119","2019/11/29 10:30:00 PM","455"
"SRV005119","2019/11/29 11:00:00 PM","306"
"SRV005119","2019/11/29 11:30:00 PM","25"
"SRV005119","2019/11/30 12:00:00 AM","61"
"SRV005119","2019/11/30 12:30:00 AM","26"
"SRV005119","2019/11/30 1:00:00 AM","1798"
"SRV005119","2019/11/30 1:30:00 AM","23"
"SRV005119","2019/11/30 2:00:00 AM","1492"
"SRV005119","2019/11/30 2:30:00 AM","181"
"SRV005119","2019/11/30 3:00:00 AM","55"
"SRV005119","2019/11/30 3:30:00 AM","28"
"SRV005119","2019/11/30 4:00:00 AM","40"
"SRV005119","2019/11/30 4:30:00 AM","139"
"SRV005119","2019/11/30 5:00:00 AM","54"
"SRV005119","2019/11/30 5:30:00 AM","63"
"SRV005119","2019/11/30 6:00:00 AM","55"
"SRV005119","2019/11/30 6:30:00 AM","47"
"SRV005119","2019/11/30 7:00:00 AM","200"
"SRV005119","2019/11/30 7:30:00 AM","85"
"SRV005119","2019/11/30 8:00:00 AM","751"
"SRV005119","2019/11/30 8:30:00 AM","71946"
"SRV005119","2019/11/30 9:00:00 AM","27778"
"SRV005119","2019/11/30 9:30:00 AM","78"
"SRV005119","2019/11/30 10:00:00 AM","81"
"SRV005119","2019/11/30 10:30:00 AM","67"
"SRV005119","2019/11/30 11:00:00 AM","84"
"SRV005119","2019/11/30 11:30:00 AM","8874"
"SRV005119","2019/11/30 12:00:00 PM","20680"
"SRV005119","2019/11/30 12:30:00 PM","11433"
"SRV005119","2019/11/30 1:00:00 PM","18114"
"SRV005119","2019/11/30 1:30:00 PM","67"
"SRV005119","2019/11/30 2:00:00 PM","60"
"SRV005119","2019/11/30 2:30:00 PM","65"
"SRV005119","2019/11/30 3:00:00 PM","79"
"SRV005119","2019/11/30 3:30:00 PM","59"
"SRV005119","2019/11/30 4:00:00 PM","65"
"SRV005119","2019/11/30 4:30:00 PM","75"
"SRV005119","2019/11/30 5:00:00 PM","82"
"SRV005119","2019/11/30 5:30:00 PM","53"
