"Server","Time Stamp","Usage (%)"
"SRV005247","",""
"SRV005247","2019/11/29 12:00:00 AM","9,65"
"SRV005247","2019/11/29 12:30:00 AM","9,42"
"SRV005247","2019/11/29 1:00:00 AM","11,16"
"SRV005247","2019/11/29 1:30:00 AM","9,56"
"SRV005247","2019/11/29 2:00:00 AM","10,48"
"SRV005247","2019/11/29 2:30:00 AM","10,61"
"SRV005247","2019/11/29 3:00:00 AM","9,55"
"SRV005247","2019/11/29 3:30:00 AM","11,44"
"SRV005247","2019/11/29 4:00:00 AM","10,64"
"SRV005247","2019/11/29 4:30:00 AM","10,06"
"SRV005247","2019/11/29 5:00:00 AM","10,28"
"SRV005247","2019/11/29 5:30:00 AM","10,72"
"SRV005247","2019/11/29 6:00:00 AM","10,76"
"SRV005247","2019/11/29 6:30:00 AM","10,64"
"SRV005247","2019/11/29 7:00:00 AM","11,72"
"SRV005247","2019/11/29 7:30:00 AM","10,11"
"SRV005247","2019/11/29 8:00:00 AM","12,01"
"SRV005247","2019/11/29 8:30:00 AM","14,44"
"SRV005247","2019/11/29 9:00:00 AM","12,31"
"SRV005247","2019/11/29 9:30:00 AM","12,4"
"SRV005247","2019/11/29 10:00:00 AM","13"
"SRV005247","2019/11/29 10:30:00 AM","11,44"
"SRV005247","2019/11/29 11:00:00 AM","12,73"
"SRV005247","2019/11/29 11:30:00 AM","11,55"
"SRV005247","2019/11/29 12:00:00 PM","11,59"
"SRV005247","2019/11/29 12:30:00 PM","12,5"
"SRV005247","2019/11/29 1:00:00 PM","11,78"
"SRV005247","2019/11/29 1:30:00 PM","11,56"
"SRV005247","2019/11/29 2:00:00 PM","11,97"
"SRV005247","2019/11/29 2:30:00 PM","11,69"
"SRV005247","2019/11/29 3:00:00 PM","12,95"
"SRV005247","2019/11/29 3:30:00 PM","12,29"
"SRV005247","2019/11/29 4:00:00 PM","11,45"
"SRV005247","2019/11/29 4:30:00 PM","12,73"
"SRV005247","2019/11/29 5:00:00 PM","11,33"
"SRV005247","2019/11/29 5:30:00 PM","10,72"
"SRV005247","2019/11/29 6:00:00 PM","15,19"
"SRV005247","2019/11/29 6:30:00 PM","11,38"
"SRV005247","2019/11/29 7:00:00 PM","9"
"SRV005247","2019/11/29 7:30:00 PM","10,6"
"SRV005247","2019/11/29 8:00:00 PM","11,29"
"SRV005247","2019/11/29 8:30:00 PM","10,94"
"SRV005247","2019/11/29 9:00:00 PM","9,87"
"SRV005247","2019/11/29 9:30:00 PM","10,93"
"SRV005247","2019/11/29 10:00:00 PM","16,32"
"SRV005247","2019/11/29 10:30:00 PM","16,16"
"SRV005247","2019/11/29 11:00:00 PM","24,06"
"SRV005247","2019/11/29 11:30:00 PM","10,62"
"SRV005247","2019/11/30 12:00:00 AM","9,79"
"SRV005247","2019/11/30 12:30:00 AM","10,36"
"SRV005247","2019/11/30 1:00:00 AM","10,94"
"SRV005247","2019/11/30 1:30:00 AM","10,62"
"SRV005247","2019/11/30 2:00:00 AM","12,55"
"SRV005247","2019/11/30 2:30:00 AM","12,54"
"SRV005247","2019/11/30 3:00:00 AM","9,96"
"SRV005247","2019/11/30 3:30:00 AM","10,62"
"SRV005247","2019/11/30 4:00:00 AM","11,28"
"SRV005247","2019/11/30 4:30:00 AM","10,62"
"SRV005247","2019/11/30 5:00:00 AM","10,84"
"SRV005247","2019/11/30 5:30:00 AM","10,64"
"SRV005247","2019/11/30 6:00:00 AM","9,79"
"SRV005247","2019/11/30 6:30:00 AM","11,28"
"SRV005247","2019/11/30 7:00:00 AM","11,18"
"SRV005247","2019/11/30 7:30:00 AM","10,35"
"SRV005247","2019/11/30 8:00:00 AM","11,66"
"SRV005247","2019/11/30 8:30:00 AM","11,5"
"SRV005247","2019/11/30 9:00:00 AM","12,35"
"SRV005247","2019/11/30 9:30:00 AM","11,61"
"SRV005247","2019/11/30 10:00:00 AM","12,21"
"SRV005247","2019/11/30 10:30:00 AM","10,86"
"SRV005247","2019/11/30 11:00:00 AM","11,21"
"SRV005247","2019/11/30 11:30:00 AM","10,98"
"SRV005247","2019/11/30 12:00:00 PM","12,83"
"SRV005247","2019/11/30 12:30:00 PM","10,24"
"SRV005247","2019/11/30 1:00:00 PM","11,15"
"SRV005247","2019/11/30 1:30:00 PM","11,06"
"SRV005247","2019/11/30 2:00:00 PM","12,92"
"SRV005247","2019/11/30 2:30:00 PM","12,24"
"SRV005247","2019/11/30 3:00:00 PM","10,93"
"SRV005247","2019/11/30 3:30:00 PM","11,41"
"SRV005247","2019/11/30 4:00:00 PM","12,61"
"SRV005247","2019/11/30 4:30:00 PM","11,29"
"SRV005247","2019/11/30 5:00:00 PM","13,29"
"SRV005247","2019/11/30 5:30:00 PM","12,49"
"SRV005247","2019/11/30 6:00:00 PM","15,84"
"SRV005247","2019/11/30 6:30:00 PM","12,6"
"SRV005247","2019/11/30 7:00:00 PM","11,75"
"SRV005247","2019/11/30 7:30:00 PM","10,44"
"SRV005247","2019/11/30 8:00:00 PM","12,32"
"SRV005247","2019/11/30 8:30:00 PM","10,85"
"SRV005247","2019/11/30 9:00:00 PM","11,03"
"SRV005247","2019/11/30 9:30:00 PM","11,58"
"SRV005247","2019/11/30 10:00:00 PM","11,96"
"SRV005247","2019/11/30 10:30:00 PM","11,86"
"SRV005247","2019/11/30 11:00:00 PM","12,63"
"SRV005247","2019/11/30 11:30:00 PM","9,61"
"SRV005247","2019/12/01 12:00:00 AM","9,46"
"SRV005247","2019/12/01 12:30:00 AM","9,61"
"SRV005247","2019/12/01 1:00:00 AM","11,79"
"SRV005247","2019/12/01 1:30:00 AM","10,14"
"SRV005247","2019/12/01 2:00:00 AM","9,38"
"SRV005247","2019/12/01 2:30:00 AM","9,41"
"SRV005247","2019/12/01 3:00:00 AM","10,6"
"SRV005247","2019/12/01 3:30:00 AM","9,83"
"SRV005247","2019/12/01 4:00:00 AM","9,26"
"SRV005247","2019/12/01 4:30:00 AM","7,89"
"SRV005247","2019/12/01 5:00:00 AM","9,51"
"SRV005247","2019/12/01 5:30:00 AM","9,92"
"SRV005247","2019/12/01 6:00:00 AM","9,23"
"SRV005247","2019/12/01 6:30:00 AM","9,53"
"SRV005247","2019/12/01 7:00:00 AM","10,93"
"SRV005247","2019/12/01 7:30:00 AM","9,57"
"SRV005247","2019/12/01 8:00:00 AM","10,77"
"SRV005247","2019/12/01 8:30:00 AM","10,95"
"SRV005247","2019/12/01 9:00:00 AM","11,31"
"SRV005247","2019/12/01 9:30:00 AM","12,25"
"SRV005247","2019/12/01 10:00:00 AM","11,18"
"SRV005247","2019/12/01 10:30:00 AM","11,44"
"SRV005247","2019/12/01 11:00:00 AM","10,91"
"SRV005247","2019/12/01 11:30:00 AM","12,3"
"SRV005247","2019/12/01 12:00:00 PM","10,7"
"SRV005247","2019/12/01 12:30:00 PM","10,75"
"SRV005247","2019/12/01 1:00:00 PM","10,26"
"SRV005247","2019/12/01 1:30:00 PM","11,28"
"SRV005247","2019/12/01 2:00:00 PM","10,78"
"SRV005247","2019/12/01 2:30:00 PM","11,72"
"SRV005247","2019/12/01 3:00:00 PM","10,69"
"SRV005247","2019/12/01 3:30:00 PM","11,69"
"SRV005247","2019/12/01 4:00:00 PM","10,91"
"SRV005247","2019/12/01 4:30:00 PM","11,24"
"SRV005247","2019/12/01 5:00:00 PM","12,4"
"SRV005247","2019/12/01 5:30:00 PM","11,52"
"SRV005247","2019/12/01 6:00:00 PM","12,12"
"SRV005247","2019/12/01 6:30:00 PM","13,15"
"SRV005247","2019/12/01 7:00:00 PM","11,82"
"SRV005247","2019/12/01 7:30:00 PM","11,01"
"SRV005247","2019/12/01 8:00:00 PM","11,72"
"SRV005247","2019/12/01 8:30:00 PM","11,32"
"SRV005247","2019/12/01 9:00:00 PM","11,63"
"SRV005247","2019/12/01 9:30:00 PM","11,41"
"SRV005247","2019/12/01 10:00:00 PM","12,75"
"SRV005247","2019/12/01 10:30:00 PM","11,9"
"SRV005247","2019/12/01 11:00:00 PM","11,27"
"SRV005247","2019/12/01 11:30:00 PM","13,05"
"SRV005247","2019/12/02 12:00:00 AM","13,33"
"SRV005247","2019/12/02 12:30:00 AM","11,69"
"SRV005247","2019/12/02 1:00:00 AM","12,21"
"SRV005247","2019/12/02 1:30:00 AM","12,03"
"SRV005247","2019/12/02 2:00:00 AM","12,84"
"SRV005247","2019/12/02 2:30:00 AM","11,63"
"SRV005247","2019/12/02 3:00:00 AM","13,35"
"SRV005247","2019/12/02 3:30:00 AM","12,83"
"SRV005247","2019/12/02 4:00:00 AM","12,25"
"SRV005247","2019/12/02 4:30:00 AM","8,44"
"SRV005247","2019/12/02 5:00:00 AM","9,74"
"SRV005247","2019/12/02 5:30:00 AM","9,95"
"SRV005247","2019/12/02 6:00:00 AM","11,98"
"SRV005247","2019/12/02 6:30:00 AM","10,39"
"SRV005247","2019/12/02 7:00:00 AM","10,26"
"SRV005247","2019/12/02 7:30:00 AM","9,65"
"SRV005247","2019/12/02 8:00:00 AM","11,73"
"SRV005247","2019/12/02 8:30:00 AM","11,37"
"SRV005247","2019/12/02 9:00:00 AM","12,27"
"SRV005247","2019/12/02 9:30:00 AM","11,21"
"SRV005247","2019/12/02 10:00:00 AM","10,72"
"SRV005247","2019/12/02 10:30:00 AM","10,97"
"SRV005247","2019/12/02 11:00:00 AM","12,98"
"SRV005247","2019/12/02 11:30:00 AM","12,26"
"SRV005247","2019/12/02 12:00:00 PM","13,22"
"SRV005247","2019/12/02 12:30:00 PM","13,69"
"SRV005247","2019/12/02 1:00:00 PM","12,72"
"SRV005247","2019/12/02 1:30:00 PM","12,64"
"SRV005247","2019/12/02 2:00:00 PM","13,4"
"SRV005247","2019/12/02 2:30:00 PM","14,31"
"SRV005247","2019/12/02 3:00:00 PM","14,15"
"SRV005247","2019/12/02 3:30:00 PM","14,3"
"SRV005247","2019/12/02 4:00:00 PM","12,36"
"SRV005247","2019/12/02 4:30:00 PM","14,02"
"SRV005247","2019/12/02 5:00:00 PM","15,75"
"SRV005247","2019/12/02 5:30:00 PM","15,31"
"SRV005247","2019/12/02 6:00:00 PM","18,51"
"SRV005247","2019/12/02 6:30:00 PM","17,36"
