"Server","Time Stamp","Usage (KBps)"
"SRV005106","",""
"SRV005106","2019/11/29 12:00:00 AM","2149"
"SRV005106","2019/11/29 12:30:00 AM","1612"
"SRV005106","2019/11/29 1:00:00 AM","2280"
"SRV005106","2019/11/29 1:30:00 AM","1638"
"SRV005106","2019/11/29 2:00:00 AM","1715"
"SRV005106","2019/11/29 2:30:00 AM","1691"
"SRV005106","2019/11/29 3:00:00 AM","12850"
"SRV005106","2019/11/29 3:30:00 AM","3137"
"SRV005106","2019/11/29 4:00:00 AM","3433"
"SRV005106","2019/11/29 4:30:00 AM","1729"
"SRV005106","2019/11/29 5:00:00 AM","1877"
"SRV005106","2019/11/29 5:30:00 AM","1793"
"SRV005106","2019/11/29 6:00:00 AM","1879"
"SRV005106","2019/11/29 6:30:00 AM","1981"
"SRV005106","2019/11/29 7:00:00 AM","931"
"SRV005106","2019/11/29 7:30:00 AM","314"
"SRV005106","2019/11/29 8:00:00 AM","605"
"SRV005106","2019/11/29 8:30:00 AM","3598"
"SRV005106","2019/11/29 9:00:00 AM","2338"
"SRV005106","2019/11/29 9:30:00 AM","3776"
"SRV005106","2019/11/29 10:00:00 AM","2274"
"SRV005106","2019/11/29 10:30:00 AM","4237"
"SRV005106","2019/11/29 11:00:00 AM","2599"
"SRV005106","2019/11/29 11:30:00 AM","2872"
"SRV005106","2019/11/29 12:00:00 PM","2060"
"SRV005106","2019/11/29 12:30:00 PM","1203"
"SRV005106","2019/11/29 1:00:00 PM","1881"
"SRV005106","2019/11/29 1:30:00 PM","891"
"SRV005106","2019/11/29 2:00:00 PM","801"
"SRV005106","2019/11/29 2:30:00 PM","1431"
"SRV005106","2019/11/29 3:00:00 PM","1363"
"SRV005106","2019/11/29 3:30:00 PM","1809"
"SRV005106","2019/11/29 4:00:00 PM","336"
"SRV005106","2019/11/29 4:30:00 PM","261"
"SRV005106","2019/11/29 5:00:00 PM","315"
"SRV005106","2019/11/29 5:30:00 PM","181"
"SRV005106","2019/11/29 6:00:00 PM","436"
"SRV005106","2019/11/29 6:30:00 PM","160"
"SRV005106","2019/11/29 7:00:00 PM","252"
"SRV005106","2019/11/29 7:30:00 PM","105"
"SRV005106","2019/11/29 8:00:00 PM","186684"
"SRV005106","2019/11/29 8:30:00 PM","220271"
"SRV005106","2019/11/29 9:00:00 PM","188153"
"SRV005106","2019/11/29 9:30:00 PM","168581"
"SRV005106","2019/11/29 10:00:00 PM","38792"
"SRV005106","2019/11/29 10:30:00 PM","15921"
"SRV005106","2019/11/29 11:00:00 PM","7203"
"SRV005106","2019/11/29 11:30:00 PM","2189"
"SRV005106","2019/11/30 12:00:00 AM","2045"
"SRV005106","2019/11/30 12:30:00 AM","1623"
"SRV005106","2019/11/30 1:00:00 AM","2051"
"SRV005106","2019/11/30 1:30:00 AM","1678"
"SRV005106","2019/11/30 2:00:00 AM","2215"
"SRV005106","2019/11/30 2:30:00 AM","4560"
"SRV005106","2019/11/30 3:00:00 AM","4048"
"SRV005106","2019/11/30 3:30:00 AM","3853"
"SRV005106","2019/11/30 4:00:00 AM","3812"
"SRV005106","2019/11/30 4:30:00 AM","3741"
"SRV005106","2019/11/30 5:00:00 AM","4189"
"SRV005106","2019/11/30 5:30:00 AM","3715"
"SRV005106","2019/11/30 6:00:00 AM","4135"
"SRV005106","2019/11/30 6:30:00 AM","3605"
"SRV005106","2019/11/30 7:00:00 AM","4103"
"SRV005106","2019/11/30 7:30:00 AM","3566"
"SRV005106","2019/11/30 8:00:00 AM","4069"
