"Server","Time Stamp","Usage (KBps)"
"SRV005247","",""
"SRV005247","2019/11/29 12:00:00 AM","39"
"SRV005247","2019/11/29 12:30:00 AM","33"
"SRV005247","2019/11/29 1:00:00 AM","45"
"SRV005247","2019/11/29 1:30:00 AM","33"
"SRV005247","2019/11/29 2:00:00 AM","75"
"SRV005247","2019/11/29 2:30:00 AM","35"
"SRV005247","2019/11/29 3:00:00 AM","42"
"SRV005247","2019/11/29 3:30:00 AM","121"
"SRV005247","2019/11/29 4:00:00 AM","44"
"SRV005247","2019/11/29 4:30:00 AM","29"
"SRV005247","2019/11/29 5:00:00 AM","43"
"SRV005247","2019/11/29 5:30:00 AM","36"
"SRV005247","2019/11/29 6:00:00 AM","43"
"SRV005247","2019/11/29 6:30:00 AM","35"
"SRV005247","2019/11/29 7:00:00 AM","50"
"SRV005247","2019/11/29 7:30:00 AM","162"
"SRV005247","2019/11/29 8:00:00 AM","72"
"SRV005247","2019/11/29 8:30:00 AM","89"
"SRV005247","2019/11/29 9:00:00 AM","82"
"SRV005247","2019/11/29 9:30:00 AM","87"
"SRV005247","2019/11/29 10:00:00 AM","82"
"SRV005247","2019/11/29 10:30:00 AM","156"
"SRV005247","2019/11/29 11:00:00 AM","122"
"SRV005247","2019/11/29 11:30:00 AM","93"
"SRV005247","2019/11/29 12:00:00 PM","88"
"SRV005247","2019/11/29 12:30:00 PM","92"
"SRV005247","2019/11/29 1:00:00 PM","68"
"SRV005247","2019/11/29 1:30:00 PM","183"
"SRV005247","2019/11/29 2:00:00 PM","75"
"SRV005247","2019/11/29 2:30:00 PM","91"
"SRV005247","2019/11/29 3:00:00 PM","65"
"SRV005247","2019/11/29 3:30:00 PM","75"
"SRV005247","2019/11/29 4:00:00 PM","75"
"SRV005247","2019/11/29 4:30:00 PM","166"
"SRV005247","2019/11/29 5:00:00 PM","46"
"SRV005247","2019/11/29 5:30:00 PM","38"
"SRV005247","2019/11/29 6:00:00 PM","1016"
"SRV005247","2019/11/29 6:30:00 PM","38"
"SRV005247","2019/11/29 7:00:00 PM","49"
"SRV005247","2019/11/29 7:30:00 PM","36"
"SRV005247","2019/11/29 8:00:00 PM","45"
"SRV005247","2019/11/29 8:30:00 PM","51"
"SRV005247","2019/11/29 9:00:00 PM","44"
"SRV005247","2019/11/29 9:30:00 PM","41"
"SRV005247","2019/11/29 10:00:00 PM","49"
"SRV005247","2019/11/29 10:30:00 PM","49"
"SRV005247","2019/11/29 11:00:00 PM","141"
"SRV005247","2019/11/29 11:30:00 PM","34"
"SRV005247","2019/11/30 12:00:00 AM","39"
"SRV005247","2019/11/30 12:30:00 AM","34"
"SRV005247","2019/11/30 1:00:00 AM","43"
"SRV005247","2019/11/30 1:30:00 AM","30"
"SRV005247","2019/11/30 2:00:00 AM","65"
"SRV005247","2019/11/30 2:30:00 AM","78"
"SRV005247","2019/11/30 3:00:00 AM","43"
"SRV005247","2019/11/30 3:30:00 AM","35"
"SRV005247","2019/11/30 4:00:00 AM","46"
"SRV005247","2019/11/30 4:30:00 AM","34"
"SRV005247","2019/11/30 5:00:00 AM","43"
"SRV005247","2019/11/30 5:30:00 AM","33"
"SRV005247","2019/11/30 6:00:00 AM","41"
"SRV005247","2019/11/30 6:30:00 AM","33"
"SRV005247","2019/11/30 7:00:00 AM","43"
"SRV005247","2019/11/30 7:30:00 AM","35"
"SRV005247","2019/11/30 8:00:00 AM","45"
"SRV005247","2019/11/30 8:30:00 AM","45"
"SRV005247","2019/11/30 9:00:00 AM","53"
"SRV005247","2019/11/30 9:30:00 AM","50"
"SRV005247","2019/11/30 10:00:00 AM","58"
"SRV005247","2019/11/30 10:30:00 AM","41"
"SRV005247","2019/11/30 11:00:00 AM","46"
"SRV005247","2019/11/30 11:30:00 AM","34"
"SRV005247","2019/11/30 12:00:00 PM","114"
"SRV005247","2019/11/30 12:30:00 PM","33"
"SRV005247","2019/11/30 1:00:00 PM","45"
"SRV005247","2019/11/30 1:30:00 PM","38"
"SRV005247","2019/11/30 2:00:00 PM","50"
"SRV005247","2019/11/30 2:30:00 PM","35"
"SRV005247","2019/11/30 3:00:00 PM","49"
"SRV005247","2019/11/30 3:30:00 PM","35"
"SRV005247","2019/11/30 4:00:00 PM","46"
"SRV005247","2019/11/30 4:30:00 PM","37"
"SRV005247","2019/11/30 5:00:00 PM","48"
"SRV005247","2019/11/30 5:30:00 PM","33"
"SRV005247","2019/11/30 6:00:00 PM","1005"
"SRV005247","2019/11/30 6:30:00 PM","35"
"SRV005247","2019/11/30 7:00:00 PM","43"
"SRV005247","2019/11/30 7:30:00 PM","35"
"SRV005247","2019/11/30 8:00:00 PM","39"
"SRV005247","2019/11/30 8:30:00 PM","32"
"SRV005247","2019/11/30 9:00:00 PM","43"
"SRV005247","2019/11/30 9:30:00 PM","39"
"SRV005247","2019/11/30 10:00:00 PM","46"
"SRV005247","2019/11/30 10:30:00 PM","32"
"SRV005247","2019/11/30 11:00:00 PM","43"
"SRV005247","2019/11/30 11:30:00 PM","35"
"SRV005247","2019/12/01 12:00:00 AM","39"
"SRV005247","2019/12/01 12:30:00 AM","32"
"SRV005247","2019/12/01 1:00:00 AM","132"
"SRV005247","2019/12/01 1:30:00 AM","33"
"SRV005247","2019/12/01 2:00:00 AM","42"
"SRV005247","2019/12/01 2:30:00 AM","37"
"SRV005247","2019/12/01 3:00:00 AM","42"
"SRV005247","2019/12/01 3:30:00 AM","33"
"SRV005247","2019/12/01 4:00:00 AM","44"
"SRV005247","2019/12/01 4:30:00 AM","31"
"SRV005247","2019/12/01 5:00:00 AM","43"
"SRV005247","2019/12/01 5:30:00 AM","31"
