"Server","Time Stamp","Usage (%)"
"SRV005247","",""
"SRV005247","2019/11/29 12:00:00 AM","8,52"
"SRV005247","2019/11/29 12:30:00 AM","8,37"
"SRV005247","2019/11/29 1:00:00 AM","8,88"
"SRV005247","2019/11/29 1:30:00 AM","7,95"
"SRV005247","2019/11/29 2:00:00 AM","8,8"
"SRV005247","2019/11/29 2:30:00 AM","8,54"
"SRV005247","2019/11/29 3:00:00 AM","8,63"
"SRV005247","2019/11/29 3:30:00 AM","8,26"
"SRV005247","2019/11/29 4:00:00 AM","8,42"
"SRV005247","2019/11/29 4:30:00 AM","8,49"
"SRV005247","2019/11/29 5:00:00 AM","8,61"
"SRV005247","2019/11/29 5:30:00 AM","8,5"
"SRV005247","2019/11/29 6:00:00 AM","7,97"
"SRV005247","2019/11/29 6:30:00 AM","8,4"
"SRV005247","2019/11/29 7:00:00 AM","8,58"
"SRV005247","2019/11/29 7:30:00 AM","8,62"
"SRV005247","2019/11/29 8:00:00 AM","8,84"
"SRV005247","2019/11/29 8:30:00 AM","12,83"
"SRV005247","2019/11/29 9:00:00 AM","8,97"
"SRV005247","2019/11/29 9:30:00 AM","8,83"
"SRV005247","2019/11/29 10:00:00 AM","9"
"SRV005247","2019/11/29 10:30:00 AM","8,89"
"SRV005247","2019/11/29 11:00:00 AM","8,43"
"SRV005247","2019/11/29 11:30:00 AM","8,94"
"SRV005247","2019/11/29 12:00:00 PM","9,04"
"SRV005247","2019/11/29 12:30:00 PM","8,92"
"SRV005247","2019/11/29 1:00:00 PM","8,79"
"SRV005247","2019/11/29 1:30:00 PM","8,14"
"SRV005247","2019/11/29 2:00:00 PM","8,86"
"SRV005247","2019/11/29 2:30:00 PM","8,7"
"SRV005247","2019/11/29 3:00:00 PM","8,76"
"SRV005247","2019/11/29 3:30:00 PM","8,33"
"SRV005247","2019/11/29 4:00:00 PM","8,44"
"SRV005247","2019/11/29 4:30:00 PM","8,55"
"SRV005247","2019/11/29 5:00:00 PM","8,55"
"SRV005247","2019/11/29 5:30:00 PM","8,46"
"SRV005247","2019/11/29 6:00:00 PM","20,65"
"SRV005247","2019/11/29 6:30:00 PM","8,57"
"SRV005247","2019/11/29 7:00:00 PM","8,72"
"SRV005247","2019/11/29 7:30:00 PM","8,53"
"SRV005247","2019/11/29 8:00:00 PM","11,48"
"SRV005247","2019/11/29 8:30:00 PM","10,35"
"SRV005247","2019/11/29 9:00:00 PM","9,33"
"SRV005247","2019/11/29 9:30:00 PM","11,8"
"SRV005247","2019/11/29 10:00:00 PM","12,74"
"SRV005247","2019/11/29 10:30:00 PM","15,3"
"SRV005247","2019/11/29 11:00:00 PM","13,58"
"SRV005247","2019/11/29 11:30:00 PM","9,05"
"SRV005247","2019/11/30 12:00:00 AM","8,9"
"SRV005247","2019/11/30 12:30:00 AM","8,69"
"SRV005247","2019/11/30 1:00:00 AM","8,89"
"SRV005247","2019/11/30 1:30:00 AM","8,18"
"SRV005247","2019/11/30 2:00:00 AM","11,49"
"SRV005247","2019/11/30 2:30:00 AM","9,23"
"SRV005247","2019/11/30 3:00:00 AM","8,89"
"SRV005247","2019/11/30 3:30:00 AM","8,4"
"SRV005247","2019/11/30 4:00:00 AM","8,64"
"SRV005247","2019/11/30 4:30:00 AM","8,72"
"SRV005247","2019/11/30 5:00:00 AM","8,92"
"SRV005247","2019/11/30 5:30:00 AM","8,75"
"SRV005247","2019/11/30 6:00:00 AM","8,35"
"SRV005247","2019/11/30 6:30:00 AM","8,79"
"SRV005247","2019/11/30 7:00:00 AM","8,94"
"SRV005247","2019/11/30 7:30:00 AM","8,79"
"SRV005247","2019/11/30 8:00:00 AM","9,34"
"SRV005247","2019/11/30 8:30:00 AM","8,38"
"SRV005247","2019/11/30 9:00:00 AM","8,96"
"SRV005247","2019/11/30 9:30:00 AM","8,93"
"SRV005247","2019/11/30 10:00:00 AM","9,09"
"SRV005247","2019/11/30 10:30:00 AM","8,83"
"SRV005247","2019/11/30 11:00:00 AM","8,49"
"SRV005247","2019/11/30 11:30:00 AM","8,78"
"SRV005247","2019/11/30 12:00:00 PM","9,8"
"SRV005247","2019/11/30 12:30:00 PM","8,67"
"SRV005247","2019/11/30 1:00:00 PM","8,94"
"SRV005247","2019/11/30 1:30:00 PM","8,26"
"SRV005247","2019/11/30 2:00:00 PM","9,01"
"SRV005247","2019/11/30 2:30:00 PM","8,86"
"SRV005247","2019/11/30 3:00:00 PM","8,91"
"SRV005247","2019/11/30 3:30:00 PM","8,52"
"SRV005247","2019/11/30 4:00:00 PM","8,64"
"SRV005247","2019/11/30 4:30:00 PM","8,72"
"SRV005247","2019/11/30 5:00:00 PM","9,1"
"SRV005247","2019/11/30 5:30:00 PM","8,85"
"SRV005247","2019/11/30 6:00:00 PM","20,81"
"SRV005247","2019/11/30 6:30:00 PM","8,8"
"SRV005247","2019/11/30 7:00:00 PM","8,93"
"SRV005247","2019/11/30 7:30:00 PM","8,77"
"SRV005247","2019/11/30 8:00:00 PM","8,88"
"SRV005247","2019/11/30 8:30:00 PM","8,11"
"SRV005247","2019/11/30 9:00:00 PM","8,94"
"SRV005247","2019/11/30 9:30:00 PM","8,72"
"SRV005247","2019/11/30 10:00:00 PM","9,05"
"SRV005247","2019/11/30 10:30:00 PM","8,68"
"SRV005247","2019/11/30 11:00:00 PM","8,6"
"SRV005247","2019/11/30 11:30:00 PM","8,73"
"SRV005247","2019/12/01 12:00:00 AM","8,89"
"SRV005247","2019/12/01 12:30:00 AM","8,72"
"SRV005247","2019/12/01 1:00:00 AM","9,38"
"SRV005247","2019/12/01 1:30:00 AM","8,23"
"SRV005247","2019/12/01 2:00:00 AM","8,97"
