"Server","Time Stamp","Usage (%)"
"SRV005119","",""
"SRV005119","2019/11/29 12:00:00 AM","3,14"
"SRV005119","2019/11/29 12:30:00 AM","3,08"
"SRV005119","2019/11/29 1:00:00 AM","3,71"
"SRV005119","2019/11/29 1:30:00 AM","3,06"
"SRV005119","2019/11/29 2:00:00 AM","3,19"
"SRV005119","2019/11/29 2:30:00 AM","2,94"
"SRV005119","2019/11/29 3:00:00 AM","3,18"
"SRV005119","2019/11/29 3:30:00 AM","3,16"
"SRV005119","2019/11/29 4:00:00 AM","3,05"
"SRV005119","2019/11/29 4:30:00 AM","3,07"
"SRV005119","2019/11/29 5:00:00 AM","4,47"
"SRV005119","2019/11/29 5:30:00 AM","5,18"
"SRV005119","2019/11/29 6:00:00 AM","4,53"
"SRV005119","2019/11/29 6:30:00 AM","6,46"
"SRV005119","2019/11/29 7:00:00 AM","8,03"
"SRV005119","2019/11/29 7:30:00 AM","8,93"
"SRV005119","2019/11/29 8:00:00 AM","13,75"
"SRV005119","2019/11/29 8:30:00 AM","19,48"
"SRV005119","2019/11/29 9:00:00 AM","17,18"
"SRV005119","2019/11/29 9:30:00 AM","20,24"
"SRV005119","2019/11/29 10:00:00 AM","21,17"
"SRV005119","2019/11/29 10:30:00 AM","24,29"
"SRV005119","2019/11/29 11:00:00 AM","23,13"
"SRV005119","2019/11/29 11:30:00 AM","21,96"
"SRV005119","2019/11/29 12:00:00 PM","19,33"
"SRV005119","2019/11/29 12:30:00 PM","19,11"
"SRV005119","2019/11/29 1:00:00 PM","11,6"
"SRV005119","2019/11/29 1:30:00 PM","11,49"
"SRV005119","2019/11/29 2:00:00 PM","10,21"
"SRV005119","2019/11/29 2:30:00 PM","11,03"
"SRV005119","2019/11/29 3:00:00 PM","10,39"
"SRV005119","2019/11/29 3:30:00 PM","9,95"
"SRV005119","2019/11/29 4:00:00 PM","7,75"
"SRV005119","2019/11/29 4:30:00 PM","5,8"
"SRV005119","2019/11/29 5:00:00 PM","5,27"
"SRV005119","2019/11/29 5:30:00 PM","5,29"
"SRV005119","2019/11/29 6:00:00 PM","4,42"
"SRV005119","2019/11/29 6:30:00 PM","4,74"
"SRV005119","2019/11/29 7:00:00 PM","3,57"
"SRV005119","2019/11/29 7:30:00 PM","3,25"
"SRV005119","2019/11/29 8:00:00 PM","16,11"
"SRV005119","2019/11/29 8:30:00 PM","10,15"
"SRV005119","2019/11/29 9:00:00 PM","12,12"
"SRV005119","2019/11/29 9:30:00 PM","5,99"
"SRV005119","2019/11/29 10:00:00 PM","6,19"
"SRV005119","2019/11/29 10:30:00 PM","7,1"
"SRV005119","2019/11/29 11:00:00 PM","4,08"
"SRV005119","2019/11/29 11:30:00 PM","3,13"
"SRV005119","2019/11/30 12:00:00 AM","3,21"
"SRV005119","2019/11/30 12:30:00 AM","3,08"
"SRV005119","2019/11/30 1:00:00 AM","4,56"
"SRV005119","2019/11/30 1:30:00 AM","3,03"
"SRV005119","2019/11/30 2:00:00 AM","4,4"
"SRV005119","2019/11/30 2:30:00 AM","3,13"
"SRV005119","2019/11/30 3:00:00 AM","3,34"
"SRV005119","2019/11/30 3:30:00 AM","2,93"
"SRV005119","2019/11/30 4:00:00 AM","3,16"
"SRV005119","2019/11/30 4:30:00 AM","3,07"
"SRV005119","2019/11/30 5:00:00 AM","4,39"
"SRV005119","2019/11/30 5:30:00 AM","4,78"
"SRV005119","2019/11/30 6:00:00 AM","4,63"
"SRV005119","2019/11/30 6:30:00 AM","4,6"
"SRV005119","2019/11/30 7:00:00 AM","4,87"
"SRV005119","2019/11/30 7:30:00 AM","4,63"
"SRV005119","2019/11/30 8:00:00 AM","7,17"
"SRV005119","2019/11/30 8:30:00 AM","10,78"
"SRV005119","2019/11/30 9:00:00 AM","12,72"
"SRV005119","2019/11/30 9:30:00 AM","6,74"
"SRV005119","2019/11/30 10:00:00 AM","6,54"
"SRV005119","2019/11/30 10:30:00 AM","6,13"
"SRV005119","2019/11/30 11:00:00 AM","6,91"
"SRV005119","2019/11/30 11:30:00 AM","15,29"
"SRV005119","2019/11/30 12:00:00 PM","9,9"
"SRV005119","2019/11/30 12:30:00 PM","16,2"
"SRV005119","2019/11/30 1:00:00 PM","8,32"
"SRV005119","2019/11/30 1:30:00 PM","6,33"
"SRV005119","2019/11/30 2:00:00 PM","5,39"
"SRV005119","2019/11/30 2:30:00 PM","6,09"
"SRV005119","2019/11/30 3:00:00 PM","6,6"
"SRV005119","2019/11/30 3:30:00 PM","5,58"
"SRV005119","2019/11/30 4:00:00 PM","5,91"
"SRV005119","2019/11/30 4:30:00 PM","5,91"
"SRV005119","2019/11/30 5:00:00 PM","5,84"
"SRV005119","2019/11/30 5:30:00 PM","5,23"
"SRV005119","2019/11/30 6:00:00 PM","5,31"
"SRV005119","2019/11/30 6:30:00 PM","5,76"
"SRV005119","2019/11/30 7:00:00 PM","4,5"
"SRV005119","2019/11/30 7:30:00 PM","3,94"
"SRV005119","2019/11/30 8:00:00 PM","3,91"
"SRV005119","2019/11/30 8:30:00 PM","3,95"
"SRV005119","2019/11/30 9:00:00 PM","4,05"
"SRV005119","2019/11/30 9:30:00 PM","3,92"
"SRV005119","2019/11/30 10:00:00 PM","3,18"
"SRV005119","2019/11/30 10:30:00 PM","3,08"
"SRV005119","2019/11/30 11:00:00 PM","3,12"
"SRV005119","2019/11/30 11:30:00 PM","3,21"
"SRV005119","2019/12/01 12:00:00 AM","3,19"
"SRV005119","2019/12/01 12:30:00 AM","3,08"
"SRV005119","2019/12/01 1:00:00 AM","3,33"
"SRV005119","2019/12/01 1:30:00 AM","3,05"
"SRV005119","2019/12/01 2:00:00 AM","3,2"
"SRV005119","2019/12/01 2:30:00 AM","2,98"
