"Server","Time Stamp","Usage (KBps)"
"SRV005107","",""
"SRV005107","2019/11/29 12:00:00 AM","148"
"SRV005107","2019/11/29 12:30:00 AM","68"
"SRV005107","2019/11/29 1:00:00 AM","267"
"SRV005107","2019/11/29 1:30:00 AM","67"
"SRV005107","2019/11/29 2:00:00 AM","94"
"SRV005107","2019/11/29 2:30:00 AM","57"
"SRV005107","2019/11/29 3:00:00 AM","122"
"SRV005107","2019/11/29 3:30:00 AM","60"
"SRV005107","2019/11/29 4:00:00 AM","95"
"SRV005107","2019/11/29 4:30:00 AM","52"
"SRV005107","2019/11/29 5:00:00 AM","88"
"SRV005107","2019/11/29 5:30:00 AM","65"
"SRV005107","2019/11/29 6:00:00 AM","96"
"SRV005107","2019/11/29 6:30:00 AM","72"
"SRV005107","2019/11/29 7:00:00 AM","111"
"SRV005107","2019/11/29 7:30:00 AM","82"
"SRV005107","2019/11/29 8:00:00 AM","138"
"SRV005107","2019/11/29 8:30:00 AM","134"
"SRV005107","2019/11/29 9:00:00 AM","160"
"SRV005107","2019/11/29 9:30:00 AM","125"
"SRV005107","2019/11/29 10:00:00 AM","173"
"SRV005107","2019/11/29 10:30:00 AM","159"
"SRV005107","2019/11/29 11:00:00 AM","194"
"SRV005107","2019/11/29 11:30:00 AM","150"
"SRV005107","2019/11/29 12:00:00 PM","179"
"SRV005107","2019/11/29 12:30:00 PM","148"
"SRV005107","2019/11/29 1:00:00 PM","163"
"SRV005107","2019/11/29 1:30:00 PM","122"
"SRV005107","2019/11/29 2:00:00 PM","149"
"SRV005107","2019/11/29 2:30:00 PM","122"
"SRV005107","2019/11/29 3:00:00 PM","144"
"SRV005107","2019/11/29 3:30:00 PM","100"
"SRV005107","2019/11/29 4:00:00 PM","122"
"SRV005107","2019/11/29 4:30:00 PM","78"
"SRV005107","2019/11/29 5:00:00 PM","106"
"SRV005107","2019/11/29 5:30:00 PM","69"
"SRV005107","2019/11/29 6:00:00 PM","111"
"SRV005107","2019/11/29 6:30:00 PM","70"
"SRV005107","2019/11/29 7:00:00 PM","104"
"SRV005107","2019/11/29 7:30:00 PM","65"
"SRV005107","2019/11/29 8:00:00 PM","6801"
"SRV005107","2019/11/29 8:30:00 PM","50331"
"SRV005107","2019/11/29 9:00:00 PM","62980"
"SRV005107","2019/11/29 9:30:00 PM","120"
"SRV005107","2019/11/29 10:00:00 PM","113"
"SRV005107","2019/11/29 10:30:00 PM","632"
"SRV005107","2019/11/29 11:00:00 PM","390"
"SRV005107","2019/11/29 11:30:00 PM","88"
"SRV005107","2019/11/30 12:00:00 AM","123"
"SRV005107","2019/11/30 12:30:00 AM","66"
"SRV005107","2019/11/30 1:00:00 AM","223"
"SRV005107","2019/11/30 1:30:00 AM","80"
"SRV005107","2019/11/30 2:00:00 AM","408"
"SRV005107","2019/11/30 2:30:00 AM","2926"
"SRV005107","2019/11/30 3:00:00 AM","948"
"SRV005107","2019/11/30 3:30:00 AM","1844"
"SRV005107","2019/11/30 4:00:00 AM","1108"
"SRV005107","2019/11/30 4:30:00 AM","1697"
"SRV005107","2019/11/30 5:00:00 AM","1305"
"SRV005107","2019/11/30 5:30:00 AM","1319"
"SRV005107","2019/11/30 6:00:00 AM","1557"
"SRV005107","2019/11/30 6:30:00 AM","984"
"SRV005107","2019/11/30 7:00:00 AM","1570"
"SRV005107","2019/11/30 7:30:00 AM","1090"
"SRV005107","2019/11/30 8:00:00 AM","1288"
"SRV005107","2019/11/30 8:30:00 AM","1357"
"SRV005107","2019/11/30 9:00:00 AM","1075"
"SRV005107","2019/11/30 9:30:00 AM","1241"
"SRV005107","2019/11/30 10:00:00 AM","1152"
"SRV005107","2019/11/30 10:30:00 AM","1154"
"SRV005107","2019/11/30 11:00:00 AM","1237"
"SRV005107","2019/11/30 11:30:00 AM","2379"
"SRV005107","2019/11/30 12:00:00 PM","1287"
"SRV005107","2019/11/30 12:30:00 PM","1049"
"SRV005107","2019/11/30 1:00:00 PM","1239"
"SRV005107","2019/11/30 1:30:00 PM","1150"
"SRV005107","2019/11/30 2:00:00 PM","117768"
"SRV005107","2019/11/30 2:30:00 PM","135265"
"SRV005107","2019/11/30 3:00:00 PM","148988"
"SRV005107","2019/11/30 3:30:00 PM","1451"
"SRV005107","2019/11/30 4:00:00 PM","1859"
"SRV005107","2019/11/30 4:30:00 PM","1630"
"SRV005107","2019/11/30 5:00:00 PM","1174"
"SRV005107","2019/11/30 5:30:00 PM","1735"
"SRV005107","2019/11/30 6:00:00 PM","1139"
"SRV005107","2019/11/30 6:30:00 PM","1868"
"SRV005107","2019/11/30 7:00:00 PM","1097"
"SRV005107","2019/11/30 7:30:00 PM","1738"
"SRV005107","2019/11/30 8:00:00 PM","1301"
"SRV005107","2019/11/30 8:30:00 PM","1439"
"SRV005107","2019/11/30 9:00:00 PM","1184"
"SRV005107","2019/11/30 9:30:00 PM","1363"
"SRV005107","2019/11/30 10:00:00 PM","40972"
"SRV005107","2019/11/30 10:30:00 PM","50013"
"SRV005107","2019/11/30 11:00:00 PM","84292"
"SRV005107","2019/11/30 11:30:00 PM","1284"
"SRV005107","2019/12/01 12:00:00 AM","1674"
"SRV005107","2019/12/01 12:30:00 AM","1410"
"SRV005107","2019/12/01 1:00:00 AM","679"
"SRV005107","2019/12/01 1:30:00 AM","255"
"SRV005107","2019/12/01 2:00:00 AM","396"
"SRV005107","2019/12/01 2:30:00 AM","222"
"SRV005107","2019/12/01 3:00:00 AM","244"
"SRV005107","2019/12/01 3:30:00 AM","350"
"SRV005107","2019/12/01 4:00:00 AM","308"
"SRV005107","2019/12/01 4:30:00 AM","193"
"SRV005107","2019/12/01 5:00:00 AM","363"
"SRV005107","2019/12/01 5:30:00 AM","347"
"SRV005107","2019/12/01 6:00:00 AM","230"
"SRV005107","2019/12/01 6:30:00 AM","241"
"SRV005107","2019/12/01 7:00:00 AM","391"
"SRV005107","2019/12/01 7:30:00 AM","222"
"SRV005107","2019/12/01 8:00:00 AM","561"
"SRV005107","2019/12/01 8:30:00 AM","477"
"SRV005107","2019/12/01 9:00:00 AM","414"
"SRV005107","2019/12/01 9:30:00 AM","322"
"SRV005107","2019/12/01 10:00:00 AM","482"
"SRV005107","2019/12/01 10:30:00 AM","263"
"SRV005107","2019/12/01 11:00:00 AM","278"
"SRV005107","2019/12/01 11:30:00 AM","379"
"SRV005107","2019/12/01 12:00:00 PM","339"
"SRV005107","2019/12/01 12:30:00 PM","202"
"SRV005107","2019/12/01 1:00:00 PM","451"
"SRV005107","2019/12/01 1:30:00 PM","341"
"SRV005107","2019/12/01 2:00:00 PM","20963"
"SRV005107","2019/12/01 2:30:00 PM","49112"
"SRV005107","2019/12/01 3:00:00 PM","38345"
"SRV005107","2019/12/01 3:30:00 PM","34847"
"SRV005107","2019/12/01 4:00:00 PM","29032"
"SRV005107","2019/12/01 4:30:00 PM","51071"
"SRV005107","2019/12/01 5:00:00 PM","27875"
"SRV005107","2019/12/01 5:30:00 PM","539"
"SRV005107","2019/12/01 6:00:00 PM","256"
"SRV005107","2019/12/01 6:30:00 PM","301"
"SRV005107","2019/12/01 7:00:00 PM","382"
"SRV005107","2019/12/01 7:30:00 PM","207"
"SRV005107","2019/12/01 8:00:00 PM","553"
"SRV005107","2019/12/01 8:30:00 PM","225"
"SRV005107","2019/12/01 9:00:00 PM","327"
"SRV005107","2019/12/01 9:30:00 PM","258"
"SRV005107","2019/12/01 10:00:00 PM","290"
"SRV005107","2019/12/01 10:30:00 PM","407"
"SRV005107","2019/12/01 11:00:00 PM","211"
"SRV005107","2019/12/01 11:30:00 PM","306"
"SRV005107","2019/12/02 12:00:00 AM","493"
"SRV005107","2019/12/02 12:30:00 AM","216"
"SRV005107","2019/12/02 1:00:00 AM","412"
"SRV005107","2019/12/02 1:30:00 AM","420"
"SRV005107","2019/12/02 2:00:00 AM","240"
"SRV005107","2019/12/02 2:30:00 AM","273"
"SRV005107","2019/12/02 3:00:00 AM","455"
"SRV005107","2019/12/02 3:30:00 AM","176"
"SRV005107","2019/12/02 4:00:00 AM","346"
"SRV005107","2019/12/02 4:30:00 AM","371"
"SRV005107","2019/12/02 5:00:00 AM","453"
"SRV005107","2019/12/02 5:30:00 AM","266"
"SRV005107","2019/12/02 6:00:00 AM","324"
"SRV005107","2019/12/02 6:30:00 AM","373"
"SRV005107","2019/12/02 7:00:00 AM","409"
"SRV005107","2019/12/02 7:30:00 AM","327"
"SRV005107","2019/12/02 8:00:00 AM","296"
"SRV005107","2019/12/02 8:30:00 AM","377"
"SRV005107","2019/12/02 9:00:00 AM","332"
"SRV005107","2019/12/02 9:30:00 AM","284"
"SRV005107","2019/12/02 10:00:00 AM","585"
"SRV005107","2019/12/02 10:30:00 AM","208"
"SRV005107","2019/12/02 11:00:00 AM","404"
"SRV005107","2019/12/02 11:30:00 AM","123"
"SRV005107","2019/12/02 12:00:00 PM","169"
"SRV005107","2019/12/02 12:30:00 PM","115"
"SRV005107","2019/12/02 1:00:00 PM","171"
