"Server","Time Stamp","Usage (KBps)"
"SRV005120","2019/12/01 12:30:00 PM","131"
"SRV005120","2019/12/01 1:00:00 PM","188"
"SRV005120","2019/12/01 1:30:00 PM","90"
"SRV005120","2019/12/01 2:00:00 PM","137"
"SRV005120","2019/12/01 2:30:00 PM","176"
"SRV005120","2019/12/01 3:00:00 PM","99"
"SRV005120","2019/12/01 3:30:00 PM","107"
"SRV005120","2019/12/01 4:00:00 PM","174"
"SRV005120","2019/12/01 4:30:00 PM","104"
"SRV005120","2019/12/01 5:00:00 PM","185"
"SRV005120","2019/12/01 5:30:00 PM","93"
"SRV005120","2019/12/01 6:00:00 PM","217"
"SRV005120","2019/12/01 6:30:00 PM","90"
"SRV005120","2019/12/01 7:00:00 PM","199"
"SRV005120","2019/12/01 7:30:00 PM","102"
"SRV005120","2019/12/01 8:00:00 PM","107"
"SRV005120","2019/12/01 8:30:00 PM","182"
"SRV005120","2019/12/01 9:00:00 PM","97"
"SRV005120","2019/12/01 9:30:00 PM","180"
"SRV005120","2019/12/01 10:00:00 PM","98"
"SRV005120","2019/12/01 10:30:00 PM","182"
"SRV005120","2019/12/01 11:00:00 PM","139"
"SRV005120","2019/12/01 11:30:00 PM","90"
"SRV005120","2019/12/02 12:00:00 AM","259"
"SRV005120","2019/12/02 12:30:00 AM","135"
"SRV005120","2019/12/02 1:00:00 AM","235"
"SRV005120","2019/12/02 1:30:00 AM","186"
"SRV005120","2019/12/02 2:00:00 AM","144"
"SRV005120","2019/12/02 2:30:00 AM","183"
"SRV005120","2019/12/02 3:00:00 AM","98"
"SRV005120","2019/12/02 3:30:00 AM","132"
"SRV005120","2019/12/02 4:00:00 AM","203"
"SRV005120","2019/12/02 4:30:00 AM","111"
"SRV005120","2019/12/02 5:00:00 AM","213"
"SRV005120","2019/12/02 5:30:00 AM","126"
"SRV005120","2019/12/02 6:00:00 AM","136"
"SRV005120","2019/12/02 6:30:00 AM","176"
"SRV005120","2019/12/02 7:00:00 AM","120"
"SRV005120","2019/12/02 7:30:00 AM","194"
"SRV005120","2019/12/02 8:00:00 AM","144"
"SRV005120","2019/12/02 8:30:00 AM","159"
"SRV005120","2019/12/02 9:00:00 AM","49"
"SRV005120","2019/12/02 9:30:00 AM","117"
"SRV005120","2019/12/02 10:00:00 AM","40"
"SRV005120","2019/12/02 10:30:00 AM","28"
"SRV005120","2019/12/02 11:00:00 AM","1075"
"SRV005120","2019/12/02 11:30:00 AM","4520"
"SRV005120","2019/12/02 12:00:00 PM","6750"
"SRV005120","2019/12/02 12:30:00 PM","6149"
"SRV005120","2019/12/02 1:00:00 PM","15005"
"SRV005120","2019/12/02 1:30:00 PM","545"
"SRV005120","2019/12/02 2:00:00 PM","43"
"SRV005120","2019/12/02 2:30:00 PM","60"
"SRV005120","2019/12/02 3:00:00 PM","48"
"SRV005120","2019/12/02 3:30:00 PM","31"
"SRV005120","2019/12/02 4:00:00 PM","43"
"SRV005120","2019/12/02 4:30:00 PM","31"
"SRV005120","2019/12/02 5:00:00 PM","40"
"SRV005120","2019/12/02 5:30:00 PM","64"
"SRV005120","2019/12/02 6:00:00 PM","49"
"SRV005120","2019/12/02 6:30:00 PM","32"
"SRV005120","2019/12/02 7:00:00 PM","46"
"SRV005120","2019/12/02 7:30:00 PM","30"
"SRV005120","2019/12/02 8:00:00 PM","93"
"SRV005120","2019/12/02 8:30:00 PM","32"
"SRV005120","2019/12/02 9:00:00 PM","39"
"SRV005120","2019/12/02 9:30:00 PM","7832"
"SRV005120","2019/12/02 10:00:00 PM","57"
"SRV005120","2019/12/02 10:30:00 PM","66"
"SRV005120","2019/12/02 11:00:00 PM","44"
"SRV005120","2019/12/02 11:30:00 PM","33"
"SRV005120","2019/12/03 12:00:00 AM","39"
"SRV005120","2019/12/03 12:30:00 AM","31"
"SRV005120","2019/12/03 1:00:00 AM","704"
"SRV005120","2019/12/03 1:30:00 AM","53"
"SRV005120","2019/12/03 2:00:00 AM","61"
"SRV005120","2019/12/03 2:30:00 AM","30"
"SRV005120","2019/12/03 3:00:00 AM","39"
"SRV005120","2019/12/03 3:30:00 AM","28"
"SRV005120","2019/12/03 4:00:00 AM","56"
"SRV005120","2019/12/03 4:30:00 AM","42"
"SRV005120","2019/12/03 5:00:00 AM","208"
"SRV005120","2019/12/03 5:30:00 AM","30"
"SRV005120","2019/12/03 6:00:00 AM","37"
"SRV005120","2019/12/03 6:30:00 AM","29"
"SRV005120","2019/12/03 7:00:00 AM","89"
"SRV005120","2019/12/03 7:30:00 AM","47"
"SRV005120","2019/12/03 8:00:00 AM","41"
"SRV005120","2019/12/03 8:30:00 AM","29"
"SRV005120","2019/12/03 9:00:00 AM","36"
"SRV005120","2019/12/03 9:30:00 AM","28"
"SRV005120","2019/12/03 10:00:00 AM","68"
"SRV005120","2019/12/03 10:30:00 AM","28"
