"Server","Time Stamp","Usage (KBps)"
"SRV005246","",""
"SRV005246","2019/11/29 12:00:00 AM","52"
"SRV005246","2019/11/29 12:30:00 AM","42"
"SRV005246","2019/11/29 1:00:00 AM","140"
"SRV005246","2019/11/29 1:30:00 AM","43"
"SRV005246","2019/11/29 2:00:00 AM","53"
"SRV005246","2019/11/29 2:30:00 AM","39"
"SRV005246","2019/11/29 3:00:00 AM","65"
"SRV005246","2019/11/29 3:30:00 AM","42"
"SRV005246","2019/11/29 4:00:00 AM","54"
"SRV005246","2019/11/29 4:30:00 AM","37"
"SRV005246","2019/11/29 5:00:00 AM","53"
"SRV005246","2019/11/29 5:30:00 AM","43"
"SRV005246","2019/11/29 6:00:00 AM","53"
"SRV005246","2019/11/29 6:30:00 AM","46"
"SRV005246","2019/11/29 7:00:00 AM","61"
"SRV005246","2019/11/29 7:30:00 AM","64"
"SRV005246","2019/11/29 8:00:00 AM","85"
"SRV005246","2019/11/29 8:30:00 AM","100"
"SRV005246","2019/11/29 9:00:00 AM","98"
"SRV005246","2019/11/29 9:30:00 AM","79"
"SRV005246","2019/11/29 10:00:00 AM","88"
"SRV005246","2019/11/29 10:30:00 AM","94"
"SRV005246","2019/11/29 11:00:00 AM","99"
"SRV005246","2019/11/29 11:30:00 AM","95"
"SRV005246","2019/11/29 12:00:00 PM","114"
"SRV005246","2019/11/29 12:30:00 PM","107"
"SRV005246","2019/11/29 1:00:00 PM","98"
"SRV005246","2019/11/29 1:30:00 PM","78"
"SRV005246","2019/11/29 2:00:00 PM","77"
"SRV005246","2019/11/29 2:30:00 PM","94"
"SRV005246","2019/11/29 3:00:00 PM","72"
"SRV005246","2019/11/29 3:30:00 PM","59"
"SRV005246","2019/11/29 4:00:00 PM","64"
"SRV005246","2019/11/29 4:30:00 PM","54"
"SRV005246","2019/11/29 5:00:00 PM","54"
"SRV005246","2019/11/29 5:30:00 PM","47"
"SRV005246","2019/11/29 6:00:00 PM","81"
"SRV005246","2019/11/29 6:30:00 PM","44"
"SRV005246","2019/11/29 7:00:00 PM","50"
"SRV005246","2019/11/29 7:30:00 PM","40"
"SRV005246","2019/11/29 8:00:00 PM","54"
"SRV005246","2019/11/29 8:30:00 PM","47"
"SRV005246","2019/11/29 9:00:00 PM","147"
"SRV005246","2019/11/29 9:30:00 PM","48"
"SRV005246","2019/11/29 10:00:00 PM","61"
"SRV005246","2019/11/29 10:30:00 PM","48"
"SRV005246","2019/11/29 11:00:00 PM","62"
"SRV005246","2019/11/29 11:30:00 PM","42"
"SRV005246","2019/11/30 12:00:00 AM","47"
"SRV005246","2019/11/30 12:30:00 AM","41"
"SRV005246","2019/11/30 1:00:00 AM","53"
"SRV005246","2019/11/30 1:30:00 AM","42"
"SRV005246","2019/11/30 2:00:00 AM","80"
"SRV005246","2019/11/30 2:30:00 AM","73"
"SRV005246","2019/11/30 3:00:00 AM","50"
"SRV005246","2019/11/30 3:30:00 AM","39"
"SRV005246","2019/11/30 4:00:00 AM","54"
"SRV005246","2019/11/30 4:30:00 AM","39"
"SRV005246","2019/11/30 5:00:00 AM","50"
"SRV005246","2019/11/30 5:30:00 AM","41"
"SRV005246","2019/11/30 6:00:00 AM","52"
"SRV005246","2019/11/30 6:30:00 AM","43"
"SRV005246","2019/11/30 7:00:00 AM","53"
"SRV005246","2019/11/30 7:30:00 AM","43"
"SRV005246","2019/11/30 8:00:00 AM","53"
"SRV005246","2019/11/30 8:30:00 AM","45"
"SRV005246","2019/11/30 9:00:00 AM","56"
"SRV005246","2019/11/30 9:30:00 AM","50"
"SRV005246","2019/11/30 10:00:00 AM","63"
"SRV005246","2019/11/30 10:30:00 AM","53"
"SRV005246","2019/11/30 11:00:00 AM","60"
"SRV005246","2019/11/30 11:30:00 AM","56"
"SRV005246","2019/11/30 12:00:00 PM","64"
"SRV005246","2019/11/30 12:30:00 PM","51"
"SRV005246","2019/11/30 1:00:00 PM","55"
"SRV005246","2019/11/30 1:30:00 PM","125"
"SRV005246","2019/11/30 2:00:00 PM","50"
"SRV005246","2019/11/30 2:30:00 PM","43"
"SRV005246","2019/11/30 3:00:00 PM","57"
"SRV005246","2019/11/30 3:30:00 PM","46"
"SRV005246","2019/11/30 4:00:00 PM","50"
"SRV005246","2019/11/30 4:30:00 PM","47"
"SRV005246","2019/11/30 5:00:00 PM","53"
"SRV005246","2019/11/30 5:30:00 PM","47"
"SRV005246","2019/11/30 6:00:00 PM","63"
"SRV005246","2019/11/30 6:30:00 PM","43"
"SRV005246","2019/11/30 7:00:00 PM","58"
"SRV005246","2019/11/30 7:30:00 PM","41"
"SRV005246","2019/11/30 8:00:00 PM","49"
"SRV005246","2019/11/30 8:30:00 PM","45"
"SRV005246","2019/11/30 9:00:00 PM","53"
"SRV005246","2019/11/30 9:30:00 PM","40"
"SRV005246","2019/11/30 10:00:00 PM","51"
"SRV005246","2019/11/30 10:30:00 PM","43"
"SRV005246","2019/11/30 11:00:00 PM","52"
"SRV005246","2019/11/30 11:30:00 PM","44"
"SRV005246","2019/12/01 12:00:00 AM","47"
"SRV005246","2019/12/01 12:30:00 AM","44"
"SRV005246","2019/12/01 1:00:00 AM","142"
"SRV005246","2019/12/01 1:30:00 AM","47"
"SRV005246","2019/12/01 2:00:00 AM","52"
"SRV005246","2019/12/01 2:30:00 AM","42"
"SRV005246","2019/12/01 3:00:00 AM","51"
"SRV005246","2019/12/01 3:30:00 AM","42"
"SRV005246","2019/12/01 4:00:00 AM","54"
"SRV005246","2019/12/01 4:30:00 AM","40"
"SRV005246","2019/12/01 5:00:00 AM","52"
"SRV005246","2019/12/01 5:30:00 AM","44"
"SRV005246","2019/12/01 6:00:00 AM","51"
"SRV005246","2019/12/01 6:30:00 AM","51"
"SRV005246","2019/12/01 7:00:00 AM","52"
"SRV005246","2019/12/01 7:30:00 AM","43"
"SRV005246","2019/12/01 8:00:00 AM","51"
"SRV005246","2019/12/01 8:30:00 AM","42"
"SRV005246","2019/12/01 9:00:00 AM","50"
"SRV005246","2019/12/01 9:30:00 AM","42"
"SRV005246","2019/12/01 10:00:00 AM","53"
"SRV005246","2019/12/01 10:30:00 AM","45"
"SRV005246","2019/12/01 11:00:00 AM","56"
"SRV005246","2019/12/01 11:30:00 AM","41"
"SRV005246","2019/12/01 12:00:00 PM","53"
"SRV005246","2019/12/01 12:30:00 PM","41"
"SRV005246","2019/12/01 1:00:00 PM","54"
"SRV005246","2019/12/01 1:30:00 PM","44"
"SRV005246","2019/12/01 2:00:00 PM","49"
"SRV005246","2019/12/01 2:30:00 PM","42"
"SRV005246","2019/12/01 3:00:00 PM","54"
"SRV005246","2019/12/01 3:30:00 PM","44"
"SRV005246","2019/12/01 4:00:00 PM","52"
"SRV005246","2019/12/01 4:30:00 PM","47"
"SRV005246","2019/12/01 5:00:00 PM","56"
"SRV005246","2019/12/01 5:30:00 PM","46"
"SRV005246","2019/12/01 6:00:00 PM","54"
"SRV005246","2019/12/01 6:30:00 PM","44"
"SRV005246","2019/12/01 7:00:00 PM","53"
"SRV005246","2019/12/01 7:30:00 PM","44"
"SRV005246","2019/12/01 8:00:00 PM","49"
"SRV005246","2019/12/01 8:30:00 PM","44"
"SRV005246","2019/12/01 9:00:00 PM","52"
"SRV005246","2019/12/01 9:30:00 PM","43"
"SRV005246","2019/12/01 10:00:00 PM","51"
"SRV005246","2019/12/01 10:30:00 PM","45"
"SRV005246","2019/12/01 11:00:00 PM","54"
"SRV005246","2019/12/01 11:30:00 PM","40"
"SRV005246","2019/12/02 12:00:00 AM","50"
"SRV005246","2019/12/02 12:30:00 AM","46"
"SRV005246","2019/12/02 1:00:00 AM","139"
"SRV005246","2019/12/02 1:30:00 AM","41"
"SRV005246","2019/12/02 2:00:00 AM","54"
"SRV005246","2019/12/02 2:30:00 AM","45"
"SRV005246","2019/12/02 3:00:00 AM","56"
"SRV005246","2019/12/02 3:30:00 AM","44"
"SRV005246","2019/12/02 4:00:00 AM","55"
