#TYPE VMware.VimAutomation.ViCore.Impl.V1.VM.UniversalVirtualMachineImpl
"Name","PowerState","Notes","Guest","NumCpu","CoresPerSocket","MemoryMB","MemoryGB","VMHostId","VMHost","VApp","FolderId","Folder","ResourcePoolId","ResourcePool","HARestartPriority","HAIsolationResponse","DrsAutomationLevel","VMSwapfilePolicy","VMResourceConfiguration","Version","HardwareVersion","PersistentId","GuestId","UsedSpaceGB","ProvisionedSpaceGB","DatastoreIdList","CreateDate","SEVEnabled","BootDelayMillisecond","ExtensionData","CustomFields","Id","Uid"
"SRV008368","PoweredOff","Requester/Owner: Anwar
Clone created: 02/11/2020
Deletion Date: 08/11/2020
Implementer: Thuto Ntamane","SRV008368:","6","6","98304","96","HostSystem-host-34247","stm02esx202.mud.internal.co.za",,"Folder-group-v285","vm","ResourcePool-resgroup-24094","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/6000 MemShares:Normal/983040","v8","vmx-08","502baf08-5f69-1539-0703-512fb14f4fab","rhel6_64Guest","430.0022825123742222785949707","526.21786867547780275344848632","System.String[]","11/2/2020 5:43:52 PM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47956","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47956/"
"SRV008369","PoweredOff","Owner: Anwar Mathe
APP: SAS IFRS17","SRV008369:","16","8","393216","384","HostSystem-host-34247","stm02esx202.mud.internal.co.za",,"Folder-group-v285","vm","ResourcePool-resgroup-24094","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/16000 MemShares:Normal/3932160","Unknown","vmx-15","502b8396-b506-b19d-83ac-b9b36b21ff4a","rhel6_64Guest","3055.0023926459252834320068359","3439.2376668555662035942077636","System.String[]","11/2/2020 5:42:39 PM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47957","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47957/"
"SRV008488","PoweredOff","","SRV008488:","4","4","8192","8","HostSystem-host-34406","stm02esx080.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-3532","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/81920","v13","vmx-13","502b6e6b-49c4-a0d8-aeaa-83ed6a8a0ed9","windows9Server64Guest","140.00574076268821954727172852","148.21743837092071771621704102","System.String[]","7/13/2020 9:54:14 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47958","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47958/"
"SRV008531","PoweredOff","NAS NFS/Samba/FTP - PROD","SRV008531:","2","2","4096","4","HostSystem-host-318","stm02esx083.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-317","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/40960","v14","vmx-14","502be77e-3ade-8657-af76-a829a763ed8d","rhel8_64Guest","250.00354210846126079559326172","254.21131057944148778915405274","System.String[]","7/29/2020 11:16:12 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47959","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47959/"
"SRV009251","PoweredOff","","SRV009251:","2","2","16384","16","HostSystem-host-29003","stmcdc02esx005.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-28993","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/163840","Unknown","vmx-15","502bc291-e3f8-ea33-c9b5-00e7b157b5fd","windows9Server64Guest","540.00464753154665231704711914","556.19632218591868877410888672","System.String[]","5/20/2021 10:33:40 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47960","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47960/"
"SRV009276","PoweredOff","","SRV009276:","6","3","16384","16","HostSystem-host-324","stm02esx084.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-317","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/6000 MemShares:Normal/163840","Unknown","vmx-15","502b8847-4726-cdd1-94ad-4a7d05198502","rhel8_64Guest","70.001306856051087379455566406","86.21693360060453414916992188","System.String[]","5/31/2021 10:49:16 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47961","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47961/"
"SRV009453","PoweredOff","","SRV009453:","2","2","36864","36","HostSystem-host-324","stm02esx084.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-317","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/368640","Unknown","vmx-15","502bcae6-a88e-56b2-f8f8-3e60e8357a44","rhel8_64Guest","550.00099677871912717819213867","586.20876524969935417175292969","System.String[]","8/4/2021 2:34:55 PM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47962","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47962/"
"SRV009454","PoweredOff","","SRV009454:","2","2","12288","12","HostSystem-host-324","stm02esx084.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-317","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/122880","Unknown","vmx-15","502be33b-8840-dd48-2469-e252e220d94f","rhel8_64Guest","130.00066577456891536712646484","142.20843424461781978607177734","System.String[]","8/4/2021 2:31:53 PM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47963","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47963/"
"SRV009455","PoweredOff","","SRV009455:","2","2","12288","12","HostSystem-host-324","stm02esx084.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-317","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/122880","Unknown","vmx-15","502b9462-5524-17ae-67b8-00de2fc1ae5d","rhel8_64Guest","110.00095957797020673751831055","122.20872804708778858184814453","System.String[]","8/4/2021 2:31:04 PM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47964","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47964/"
"SRV009456","PoweredOff","","SRV009456:","2","2","24576","24","HostSystem-host-324","stm02esx084.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-317","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/245760","Unknown","vmx-15","502b97c9-9685-a751-f730-1a3d4b433e83","rhel8_64Guest","1050.0006249733269214630126953","1074.2083934452384710311889648","System.String[]","7/30/2021 12:15:23 PM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47965","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47965/"
"SRV009467","PoweredOff","Reducing HDD on C: from 80GB to 50 GB","SRV009467:","8","4","24576","24","HostSystem-host-318","stm02esx083.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-317","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/8000 MemShares:Normal/245760","Unknown","vmx-15","502b5099-6acf-0ba2-94bd-c87303b61433","rhel8_64Guest","350.00179957970976829528808594","374.22135546524077653884887696","System.String[]","8/11/2021 7:59:29 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47966","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47966/"
"SRV009512","PoweredOff","","SRV009512:","4","2","16384","16","HostSystem-host-34406","stm02esx080.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-3532","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/4000 MemShares:Normal/163840","Unknown","vmx-15","502b2319-e0fe-3c1e-1506-f73c6a3c8ed9","windows9Server64Guest","265.001943051815032958984375","281.21364182792603969573974609","System.String[]","8/17/2021 8:03:34 AM",,"10000","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47967","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47967/"
"SRV009553","PoweredOff","","SRV009553:","2","2","8192","8","HostSystem-host-327","stm02esx086.mud.internal.co.za",,"Folder-group-v22","vm","ResourcePool-resgroup-317","Resources","ClusterRestartPriority","AsSpecifiedByCluster","AsSpecifiedByCluster","Inherit","CpuShares:Normal/2000 MemShares:Normal/81920","Unknown","vmx-15","502be1c4-5511-20e6-79cc-a740f9073358","rhel8_64Guest","70.000863700173795223236083984","78.208632168360054492950439453","System.String[]","8/27/2021 10:02:41 AM",,"0","VMware.Vim.VirtualMachine","VMware.VimAutomation.ViCore.Impl.V1.Util.ReadOnlyDictionary`2[System.String,System.String]","VirtualMachine-vm-47968","/VIServer=mud\da003089@srv007282:443/VirtualMachine=VirtualMachine-vm-47968/"
